        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         979.30          +6.60          56.00           15.0            270
            656           38.2         955.62          +5.01          57.15           31.1            259
           1313           76.2         932.40          +3.17          59.81           35.7            268
           2626          159.6         887.29          +0.65          57.49           28.8            276
           3938          256.8         843.89          -2.70          64.22           33.3            291
           5250          351.7         802.16          -5.65          64.62           41.6            281
           6563          439.8         761.98          -9.19          71.89           47.6            285
           7875          517.6         723.37         -12.48          74.34           60.5            281
           9843          646.2         668.71         -10.07           1.42           66.5            264
          13121          831.5         586.41         -17.13          11.12           64.2            268
          16398          976.0         512.26         -24.57          24.34           67.4            256
          19675         1179.8         445.71         -29.90          47.06           71.8            247
          26226         1610.5         334.37         -43.73          44.95           78.8            246
          32771         2044.8         245.51         -60.98          45.71           70.0            239
          39313         2386.3         176.74         -67.27          16.42           71.3            251
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
