          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          -1.74          80.31           1513            6.3            263          121.3
         850.00          -0.84          76.26           3735           18.0            246          317.7
         700.00         -10.12          87.37           8734           16.3            228          725.2
         500.00         -26.47          34.02          16990            6.5            176         1458.6
         400.00         -40.11          39.74          22131           11.5             63         1907.5
         300.00         -53.67           1.21          28353           12.8            155         2388.4
         250.00         -53.87           2.63          32212           11.5            235         2768.8
         200.00         -50.81           2.61          36944           25.8            254         3232.5
         150.00         -52.40           1.97          43074           38.9            264         3812.4
         100.00         -55.05           1.50          51618           55.2            280         4570.9
          70.00         -57.95           1.53          59025           67.1            284         5197.3
          50.00         -60.10           1.55          65924           78.5            279         5744.3
          30.00         -66.94           4.53          76194           93.3            270         6520.4
          20.00         -68.43           1.65          84196          113.4            266         7081.3
          10.00         -65.61           2.29          97745          131.6            264         7948.7
