        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         979.90          +6.70          61.00            3.0             90
            656           49.7         955.76          -0.12          80.55            1.4            141
           1313          104.1         932.12          -1.44          86.15            4.6            256
           2626          221.0         886.61          +1.58          70.37           14.9            250
           3938          335.5         843.45          -0.80          72.57           20.8            245
           5250          451.9         802.07          -3.11          74.57           18.5            230
           6563          559.3         762.32          -6.35          88.50           18.4            224
           7875          654.6         724.12          -9.17          92.67           16.6            222
           9843          814.8         669.87         -11.96          79.49           18.6            238
          13121         1089.2         587.05         -17.83          67.27           10.8            231
          16398         1386.3         512.61         -24.76          27.97            5.8            179
          19675         1697.7         445.71         -33.52          33.69            9.4            107
          26226         2239.2         331.68         -50.98          57.10           22.0             47
          32771         2824.3         243.46         -53.60           3.29           14.0            216
          39313         3466.1         179.02         -51.05           2.63           33.0            272
          45851         4063.6         131.54         -53.15           1.75           45.2            271
          58914         5187.8          70.38         -57.90           1.53           66.3            283
          71961         6206.8          37.11         -64.39           2.11           80.7            276
          84992         7136.6          19.21         -68.67           1.65          113.4            266
          98006         7964.7           9.87         -65.48           1.16          129.8            264
