Sample#,Date+Time,DateTime,Fl Sec,Az,El,Press,TAir,Hum,Lat,Long,Alt,Freq,RSSI,F Offs,Az Tr Offs,El Tr Offs,Sys V,Sys I,Az I,El I,MCU Stat,Rx Stat,SCA Stat,POST,SAA BIT,Rx BIT,MCU BIT,SCA BIT,CDU1 BIT,CDU2 BIT,State,Flags,THum
1,2017-08-22 10:13:10,42969.4258160,999999999.0000000,999999999.000,999999999.000,741.760,-7.560,47.010,-50.313545,-72.713684,2059.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.56
2,2017-08-22 10:13:11,42969.4258275,999999999.0000000,999999999.000,999999999.000,741.230,-7.560,46.820,-50.313553,-72.713409,2065.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.56
3,2017-08-22 10:13:12,42969.4258391,999999999.0000000,999999999.000,999999999.000,740.710,-7.570,46.710,-50.313568,-72.713097,2072.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.57
4,2017-08-22 10:13:13,42969.4258507,999999999.0000000,999999999.000,999999999.000,740.110,-7.600,46.450,-50.313572,-72.712761,2078.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.60
5,2017-08-22 10:13:14,42969.4258623,999999999.0000000,999999999.000,999999999.000,739.560,-7.550,46.110,-50.313564,-72.712433,2084.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.55
6,2017-08-22 10:13:15,42969.4258738,999999999.0000000,999999999.000,999999999.000,739.060,-7.650,45.890,-50.313541,-72.712097,2089.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.65
7,2017-08-22 10:13:16,42969.4258854,999999999.0000000,999999999.000,999999999.000,738.520,-7.680,45.630,-50.313515,-72.711761,2094.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.68
8,2017-08-22 10:13:17,42969.4258970,999999999.0000000,999999999.000,999999999.000,738.040,-7.710,45.670,-50.313488,-72.711441,2098.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.71
9,2017-08-22 10:13:18,42969.4259086,999999999.0000000,999999999.000,999999999.000,737.490,-7.770,45.680,-50.313465,-72.711128,2103.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.77
10,2017-08-22 10:13:19,42969.4259201,999999999.0000000,999999999.000,999999999.000,737.020,-7.780,45.640,-50.313438,-72.710815,2107.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.78
11,2017-08-22 10:13:20,42969.4259317,999999999.0000000,999999999.000,999999999.000,736.520,-7.820,45.600,-50.313412,-72.710518,2113.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.82
12,2017-08-22 10:13:21,42969.4259433,999999999.0000000,999999999.000,999999999.000,736.050,-7.910,45.790,-50.313400,-72.710205,2119.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.91
13,2017-08-22 10:13:22,42969.4259549,999999999.0000000,999999999.000,999999999.000,735.570,-7.970,45.910,-50.313404,-72.709885,2124.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-7.97
14,2017-08-22 10:13:23,42969.4259664,999999999.0000000,999999999.000,999999999.000,735.110,-8.010,45.980,-50.313427,-72.709557,2129.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.01
15,2017-08-22 10:13:24,42969.4259780,999999999.0000000,999999999.000,999999999.000,734.570,-8.070,46.100,-50.313450,-72.709267,2136.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.07
16,2017-08-22 10:13:25,42969.4259896,999999999.0000000,999999999.000,999999999.000,734.000,-8.140,46.030,-50.313446,-72.708992,2142.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.14
17,2017-08-22 10:13:26,42969.4260012,999999999.0000000,999999999.000,999999999.000,733.440,-8.170,46.210,-50.313423,-72.708748,2147.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.17
18,2017-08-22 10:13:27,42969.4260127,999999999.0000000,999999999.000,999999999.000,732.890,-8.180,46.260,-50.313385,-72.708496,2152.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.18
19,2017-08-22 10:13:28,42969.4260243,999999999.0000000,999999999.000,999999999.000,732.460,-8.260,46.260,-50.313347,-72.708214,2157.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.26
20,2017-08-22 10:13:29,42969.4260359,999999999.0000000,999999999.000,999999999.000,731.910,-8.290,46.220,-50.313320,-72.707909,2162.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.29
21,2017-08-22 10:13:30,42969.4260475,999999999.0000000,999999999.000,999999999.000,731.420,-8.350,46.450,-50.313305,-72.707581,2167.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.35
22,2017-08-22 10:13:31,42969.4260590,999999999.0000000,999999999.000,999999999.000,730.910,-8.440,46.630,-50.313293,-72.707260,2173.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.44
23,2017-08-22 10:13:32,42969.4260706,999999999.0000000,999999999.000,999999999.000,730.370,-8.460,46.680,-50.313290,-72.706947,2178.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.46
24,2017-08-22 10:13:33,42969.4260822,999999999.0000000,999999999.000,999999999.000,729.900,-8.490,46.830,-50.313301,-72.706627,2183.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.49
25,2017-08-22 10:13:34,42969.4260938,999999999.0000000,999999999.000,999999999.000,729.410,-8.570,46.940,-50.313313,-72.706322,2188.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.57
26,2017-08-22 10:13:35,42969.4261053,999999999.0000000,999999999.000,999999999.000,728.850,-8.640,47.090,-50.313324,-72.706001,2193.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-8.64
