        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         992.80          +6.10          43.00           10.0            270
            656           34.6         968.74          +4.63          41.00           28.2            258
           1313           71.3         945.16          +3.23          42.06           33.3            266
           2626          146.9         899.31          +0.20          41.23           37.8            272
           3938          228.8         855.24          -3.14          45.41           38.0            273
           5250          299.4         812.81          -6.49          50.78           37.3            268
           6563          354.0         772.07          -8.88          47.29           34.4            258
           7875          402.7         733.31          -7.65          13.27           35.3            259
           9843          482.4         678.42         -12.00          11.57           29.4            250
          13121          686.4         594.17         -19.82          11.03           19.9            237
          16398          920.3         518.27         -27.67          11.76           19.8            253
          19675         1045.2         449.87         -36.53          22.32           27.7            263
          26226         1441.0         334.08         -49.58          65.61           51.5            247
          32771         1857.0         243.92         -64.03          48.19           55.4            246
          39313         2278.4         175.80         -59.81          11.97           70.5            239
          45851         2679.4         127.75         -59.09          11.00           66.9            242
          58914         3482.6          67.23         -66.54           8.26           97.1            251
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
