        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         990.60          +5.60          53.00            5.0            110
            656           37.7         966.56          +4.50          56.01            4.4             86
           1313           80.7         943.08          +3.87          60.68            4.5             75
           2626          171.7         897.52          +1.29          60.43            2.0            144
           3938          249.7         853.78          -1.72          61.69            6.8            279
           5250          328.9         811.73          -4.75          62.43           10.0            288
           6563          417.2         771.26          -7.71          61.88            9.9            305
           7875          516.2         732.55          -9.25          40.72            8.0            338
           9843          652.7         677.32         -14.46          41.79            7.6            325
          13121          871.6         592.34         -23.08          26.71           14.4            286
          16398         1106.4         515.55         -31.68          53.58           19.7            296
          19675         1352.7         446.47         -40.02          63.73           27.0            296
          26226         1842.4         331.07         -47.92           5.80           43.5            316
          32771         2329.6         243.43         -55.16           3.26           43.9            332
          39313         2795.3         177.46         -57.07           2.43           56.7            316
          45851         3258.6         129.44         -56.73           1.50           74.2            313
          58914         4030.2          68.37         -62.19           2.27           94.3            314
          71961         4768.5          35.55         -66.77           2.54          123.6            302
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
