          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +4.32          56.54           1558           13.1            265          110.2
         850.00          -0.52          56.17           3796           14.4            245          266.4
         700.00         -12.49          77.85           8760           17.0            254          625.1
         500.00         -30.26          68.35          16906           37.4            304         1166.2
         400.00         -41.90          56.08          21987           69.0            336         1539.4
         300.00         -57.18          44.43          28142           74.6            343         2007.4
         250.00         -62.62           8.09          31858           52.9            311         2248.6
         200.00         -62.65           5.50          36369           58.8            288         2558.7
         150.00         -61.39           5.10          42220           69.4            277         2951.5
         100.00         -61.64           3.36          50476           80.4            279         3517.1
          70.00         -63.08           2.44          57684           93.5            277         4008.7
          50.00         -66.09           2.27          64430          105.9            280         4433.2
          30.00         -67.44           2.78          74578          130.4            283         5143.6
          20.00         -67.18           2.47          82549          150.8            275         5660.5
          10.00         -59.03           2.94          96468          155.8            273         6430.3
