          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +5.77          48.20           1227            4.7            267           65.9
         850.00          -0.27          63.02           3472           19.0            302          193.8
         700.00          -7.97          56.63           8490           51.9            291          514.1
         500.00         -27.06          64.69          16749           70.5            308          972.9
         400.00         -38.86          68.57          21900           79.2            302         1263.5
         300.00         -50.20          55.68          28236          117.1            306         1641.9
         250.00         -56.63          29.84          32080          102.5            297         1892.4
         200.00         -57.29          25.73          36707           73.4            295         2224.6
         150.00         -57.11          22.63          42673           66.4            291         2705.0
         100.00         -60.37          16.99          50939           94.0            284         3305.8
          70.00         -51.93          13.20          58366           96.9            272         3858.5
          50.00         -59.37          10.34          65383           89.3            275         4248.9
          30.00         -63.95           6.43          75695          130.0            275         4855.2
          20.00         -52.24           2.81          83971          167.6            270         5302.0
          10.00         -43.34           2.52          99143          133.7            265         6055.7
