          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +4.43          73.62           1346            7.1            321           86.8
         850.00          +2.87          72.42           3596           23.1            305          224.0
         700.00          -7.49          77.96           8656           43.9            278          545.3
         500.00         -21.28          19.63          17004           56.4            263         1135.8
         400.00         -35.83          19.59          22244           62.1            266         1502.5
         300.00         -51.45          19.60          28593           78.9            272         1912.6
         250.00         -60.05          31.27          32396           80.6            268         2196.2
         200.00         -56.87           9.13          36961           70.0            276         2524.7
         150.00         -57.96           5.31          42921           75.1            276         2913.9
         100.00         -58.81           3.66          51278           75.3            275         3488.8
          70.00         -63.26           4.46          58497           84.8            274         3885.9
          50.00         -65.02           3.12          65253          100.1            269         4325.0
          30.00         -68.34           3.34          75380          130.0            279         4883.0
          20.00         -71.81           3.24          83260          149.2            274         5285.0
          10.00         -67.03           2.58          96800          174.2            280         5950.5
