          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          -0.40          78.65           1399           10.7            275           94.2
         850.00          -4.75          64.88           3585           28.2            268          249.0
         700.00         -16.19          66.04           8490           30.9            244          596.8
         500.00         -35.15          68.61          16464           15.1            261         1110.2
         400.00         -44.95          43.67          21431           23.2            286         1525.8
         300.00         -60.82          49.89          27485           26.2            301         1957.8
         250.00         -63.14          18.28          31195           16.1            269         2329.5
         200.00         -65.02          19.36          35622           42.3            257         2722.9
         150.00         -65.42          11.10          41375           54.9            266         3281.3
         100.00         -67.93          12.48          49308           81.0            279         3968.4
          70.00         -70.41          11.96          56150          100.0            283         4436.5
          50.00         -73.76           9.02          62560          118.6            285         4837.6
          30.00         -73.14          16.04          72176          145.9            293         5508.4
          20.00         -74.43           9.08          79908          153.7            291         5922.1
          10.00         -64.67           0.10          92775          185.0            294         6691.9
