           Time          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
              s             mB             °C              %            kts              °             ft
---------------------------------------------------------------------------------------------------------
            0.0         974.30          +1.00          75.00            1.0             70              0
            1.0         974.55          -3.77          78.79            0.2            178              2
            2.0         974.38          -3.96          81.79            0.1            267              9
            3.0         974.04          -3.27          83.59            0.2            326             22
            4.0         973.59          -1.44          85.49            0.4            357             37
            5.0         973.06          -0.38          89.68            0.6              6             55
            6.0         972.49          +0.06          92.27            0.8              4             73
            7.0         971.90          +0.13          93.35            1.0            354             91
            8.0         971.28          +0.22          92.61            1.2            342            110
            9.0         970.65          +0.24          92.36            1.4            332            129
           10.0         970.05          +0.26          91.97            1.5            326            147
           11.0         969.45          +0.20          91.75            1.6            323            164
           12.0         968.87          +0.18          90.91            1.6            321            181
           13.0         968.30          +0.18          89.89            1.6            319            198
           14.0         967.74          +0.18          88.71            1.5            315            215
           15.0         967.20          +0.22          87.27            1.4            312            231
           16.0         966.65          +0.15          87.11            1.4            308            247
           17.0         966.10          +0.05          86.85            1.5            305            263
           18.0         965.54          +0.03          86.61            1.6            302            279
           19.0         964.98          +0.01          86.46            1.8            301            296
           20.0         964.45          -0.03          86.31            2.0            301            312
           21.0         963.90          -0.02          85.90            2.1            302            329
           22.0         963.33          +0.02          85.49            2.2            304            345
           23.0         962.75          -0.04          85.07            2.3            305            361
           24.0         962.17          -0.04          84.82            2.5            306            378
           25.0         961.58          -0.09          84.76            2.6            306            395
           26.0         961.00          -0.01          84.75            2.7            304            412
           27.0         960.42          +0.05          84.87            2.7            302            428
           28.0         959.84          +0.08          84.82            2.7            300            444
           29.0         959.27          +0.13          84.50            2.6            299            460
           30.0         958.70          +0.15          84.01            2.6            300            476
           31.0         958.14          +0.18          83.57            2.8            301            492
           32.0         957.59          +0.26          82.98            3.2            303            507
           33.0         957.03          +0.28          82.46            3.4            302            523
           34.0         956.49          +0.27          82.08            3.6            301            538
           35.0         955.95          +0.27          81.11            3.7            298            553
           36.0         955.41          +0.30          80.46            3.9            296            567
           37.0         954.88          +0.33          79.97            4.2            293            582
           38.0         954.36          +0.38          80.03            4.5            291            597
           39.0         953.84          +0.40          80.01            4.8            290            611
           40.0         953.32          +0.34          80.03            4.9            289            626
           41.0         952.80          +0.32          80.24            4.9            289            640
           42.0         952.27          +0.23          80.73            4.8            289            655
           43.0         951.75          +0.21          81.44            4.8            288            669
           44.0         951.22          +0.21          81.88            4.9            287            684
           45.0         950.70          +0.18          82.38            5.0            287            698
           46.0         950.18          +0.17          82.92            5.3            287            713
           47.0         949.65          +0.10          83.25            5.6            287            727
           48.0         949.12          +0.11          83.51            5.9            288            742
           49.0         948.59          +0.17          83.85            6.0            287            756
           50.0         948.06          +0.17          84.26            6.0            287            771
           51.0         947.52          +0.28          84.80            6.0            287            786
           52.0         946.98          +0.45          85.50            6.1            287            800
           53.0         946.44          +0.54          86.03            6.3            288            815
           54.0         945.90          +0.56          86.19            6.4            290            830
           55.0         945.36          +0.55          86.12            6.7            291            844
           56.0         944.82          +0.51          85.95            6.9            292            859
           57.0         944.29          +0.52          85.62            7.0            292            873
           58.0         943.76          +0.58          85.05            7.2            293            887
           59.0         943.23          +0.55          84.32            7.3            293            901
           60.0         942.71          +0.57          83.43            7.5            293            915
           61.0         942.18          +0.60          82.99            7.6            292            930
           62.0         941.65          +0.57          82.56            7.7            291            944
           63.0         941.12          +0.51          82.18            7.9            291            958
           64.0         940.60          +0.51          81.88            8.1            290            972
           65.0         940.08          +0.44          81.51            8.4            290            986
           66.0         939.56          +0.42          81.37            8.5            289           1000
           67.0         939.04          +0.41          81.14            8.4            288           1014
           68.0         938.53          +0.35          80.90            8.3            287           1028
           69.0         938.01          +0.38          80.60            8.1            286           1042
           70.0         937.50          +0.29          80.63            8.1            285           1055
           71.0         936.99          +0.28          80.36            8.3            285           1069
           72.0         936.47          +0.22          79.98            8.5            284           1083
           73.0         935.96          +0.21          79.50            8.7            284           1097
           74.0         935.45          +0.15          78.99            8.9            285           1111
           75.0         934.94          +0.14          78.82            9.0            285           1125
           76.0         934.42          +0.14          78.46            9.0            285           1140
           77.0         933.89          +0.11          78.07            8.9            285           1154
           78.0         933.37          +0.06          77.74            8.9            284           1169
           79.0         932.85          +0.06          77.76            8.8            284           1183
           80.0         932.33          -0.01          77.72            8.9            282           1197
           81.0         931.81          -0.04          77.83            9.0            281           1211
           82.0         931.29          -0.05          78.02            9.1            280           1225
           83.0         930.78          -0.06          78.17            9.2            279           1240
           84.0         930.26          -0.07          78.23            9.4            278           1254
           85.0         929.74          -0.07          78.23            9.5            277           1268
           86.0         929.22          -0.13          78.24            9.6            277           1283
           87.0         928.70          -0.17          78.25            9.8            277           1297
           88.0         928.18          -0.19          78.30           10.0            277           1311
           89.0         927.65          -0.20          78.33           10.3            277           1326
           90.0         927.13          -0.24          78.41           10.5            276           1340
           91.0         926.61          -0.23          78.47           10.5            275           1355
           92.0         926.10          -0.32          78.55           10.6            275           1369
           93.0         925.59          -0.34          78.61           10.6            274           1383
           94.0         925.08          -0.40          78.65           10.7            274           1397
           95.0         924.57          -0.38          78.65           10.7            275           1411
           96.0         924.07          -0.44          78.64           10.7            275           1425
           97.0         923.57          -0.46          78.62           10.7            276           1439
           98.0         923.07          -0.48          78.54           10.8            276           1453
           99.0         922.57          -0.57          78.57           10.9            277           1467
          100.0         922.08          -0.60          78.62           11.0            277           1481
          101.0         921.59          -0.68          78.68           11.2            276           1494
          102.0         921.11          -0.68          78.82           11.3            276           1508
          103.0         920.62          -0.67          78.87           11.5            275           1522
          104.0         920.15          -0.79          78.95           11.7            274           1535
          105.0         919.68          -0.79          79.16           11.8            273           1549
          106.0         919.20          -0.87          79.32           11.8            272           1562
          107.0         918.72          -0.89          79.33           11.8            272           1576
          108.0         918.24          -0.96          79.39           11.8            271           1590
          109.0         917.75          -1.00          79.35           11.9            271           1604
          110.0         917.27          -1.07          79.36           12.1            271           1618
          111.0         916.78          -1.09          79.52           12.4            271           1632
          112.0         916.29          -1.12          79.63           12.6            271           1646
          113.0         915.81          -1.14          79.75           12.8            270           1660
          114.0         915.32          -1.21          79.92           13.0            269           1674
          115.0         914.83          -1.19          79.89           13.2            269           1688
          116.0         914.34          -1.17          79.57           13.3            268           1702
          117.0         913.86          -1.19          79.15           13.4            268           1715
          118.0         913.39          -1.22          78.73           13.4            267           1729
          119.0         912.91          -1.26          78.49           13.3            267           1742
          120.0         912.44          -1.24          78.61           13.2            267           1756
          121.0         911.96          -1.29          78.46           13.3            267           1769
          122.0         911.48          -1.30          78.28           13.4            267           1783
          123.0         911.00          -1.30          77.99           13.5            267           1797
          124.0         910.53          -1.30          77.59           13.6            267           1810
          125.0         910.05          -1.30          77.30           13.7            266           1824
          126.0         909.57          -1.31          76.92           13.9            266           1837
          127.0         909.10          -1.36          76.56           14.3            266           1851
          128.0         908.63          -1.35          76.20           14.6            267           1864
          129.0         908.16          -1.34          75.83           14.8            267           1878
          130.0         907.69          -1.41          75.39           15.0            268           1891
          131.0         907.23          -1.40          75.23           15.2            268           1904
          132.0         906.76          -1.47          75.12           15.3            268           1918
          133.0         906.30          -1.43          75.06           15.4            268           1931
          134.0         905.83          -1.49          75.06           15.5            268           1945
          135.0         905.37          -1.51          75.04           15.6            268           1958
          136.0         904.90          -1.57          75.06           15.7            268           1972
          137.0         904.44          -1.60          75.12           15.9            268           1985
          138.0         903.97          -1.62          75.23           16.0            268           1999
          139.0         903.50          -1.65          75.12           16.2            268           2012
          140.0         903.03          -1.69          74.99           16.4            268           2026
          141.0         902.55          -1.70          74.79           16.6            268           2040
          142.0         902.07          -1.71          74.57           16.8            268           2054
          143.0         901.60          -1.77          74.68           17.0            269           2068
          144.0         901.12          -1.73          74.62           17.1            269           2081
          145.0         900.64          -1.81          74.54           17.2            269           2095
          146.0         900.15          -1.83          74.49           17.2            269           2109
          147.0         899.67          -1.90          74.53           17.4            269           2123
          148.0         899.18          -1.92          74.53           17.6            269           2137
          149.0         898.69          -1.94          74.58           17.9            269           2151
          150.0         898.20          -1.95          74.57           18.2            269           2166
          151.0         897.72          -2.00          74.52           18.5            269           2180
          152.0         897.23          -2.05          74.55           18.8            269           2194
          153.0         896.74          -2.08          74.37           19.1            268           2209
          154.0         896.25          -2.09          74.15           19.3            268           2223
          155.0         895.77          -2.12          73.92           19.4            267           2237
          156.0         895.28          -2.12          73.74           19.5            267           2252
          157.0         894.79          -2.13          73.42           19.6            267           2267
          158.0         894.29          -2.13          73.30           19.7            267           2282
          159.0         893.79          -2.20          73.17           20.0            267           2297
          160.0         893.28          -2.22          72.96           20.3            267           2312
          161.0         892.78          -2.27          73.00           20.6            267           2327
          162.0         892.27          -2.29          72.87           20.8            267           2342
          163.0         891.76          -2.35          72.82           21.1            267           2357
          164.0         891.25          -2.34          72.89           21.4            267           2372
          165.0         890.74          -2.44          72.92           21.7            268           2387
          166.0         890.22          -2.44          72.93           21.9            268           2402
          167.0         889.70          -2.50          73.03           22.2            268           2418
          168.0         889.18          -2.55          73.09           22.4            268           2433
          169.0         888.66          -2.57          73.16           22.4            269           2448
          170.0         888.14          -2.60          73.27           22.5            269           2464
          171.0         887.62          -2.70          73.28           22.4            269           2479
          172.0         887.10          -2.70          73.15           22.4            269           2494
          173.0         886.59          -2.67          72.88           22.5            269           2509
          174.0         886.07          -2.71          72.41           22.4            269           2524
          175.0         885.55          -2.74          71.78           22.4            269           2539
          176.0         885.03          -2.72          70.69           22.5            269           2554
