COUNT, UTC_D, UTC_T, CPM_1, uSv/h_1, CPM_2, uSv/h_2, TMP102_C, TMP102_F, VBat, Lat, Lon, Alt
000000,08-13-2018,15:39:43,17,0.14,17,0.14,17.94,64.29,3.27,0.000000,0.000000,0.00
000001,08-13-2018,15:40:43,14,0.11,27,0.22,17.94,64.29,3.27,0.000000,0.000000,0.00
000002,08-13-2018,15:41:43,14,0.11,15,0.12,18.06,64.51,3.27,0.000000,0.000000,0.00
000003,08-13-2018,15:42:43,13,0.11,21,0.17,18.19,64.74,3.27,0.000000,0.000000,0.00
000004,08-13-2018,15:43:43,20,0.16,18,0.15,18.31,64.96,3.27,0.000000,0.000000,0.00
000005,08-13-2018,15:44:43,19,0.15,16,0.13,18.31,64.96,3.27,0.000000,0.000000,0.00
000006,08-13-2018,15:45:43,11,0.09,16,0.13,18.38,65.07,3.27,0.000000,0.000000,0.00
000007,08-13-2018,15:46:43,11,0.09,15,0.12,18.38,65.07,3.27,0.000000,0.000000,0.00
000008,08-13-2018,15:47:43,10,0.08,20,0.16,18.38,65.07,3.27,0.000000,0.000000,0.00
000009,08-13-2018,15:48:43,10,0.08,10,0.08,18.31,64.96,3.27,0.000000,0.000000,0.00
000010,08-13-2018,15:49:43,22,0.18,11,0.09,18.31,64.96,3.27,0.000000,0.000000,0.00
000011,08-13-2018,15:50:43,13,0.11,14,0.11,18.31,64.96,3.27,0.000000,0.000000,0.00
000012,08-13-2018,15:51:43,16,0.13,20,0.16,18.31,64.96,3.27,0.000000,0.000000,0.00
000013,08-13-2018,15:52:43,8,0.06,20,0.16,18.25,64.85,3.27,0.000000,0.000000,0.00
000014,08-13-2018,15:53:43,13,0.11,14,0.11,18.19,64.74,3.27,0.000000,0.000000,0.00
000015,08-13-2018,15:54:43,15,0.12,14,0.11,18.19,64.74,3.27,0.000000,0.000000,0.00
000016,08-13-2018,15:55:43,15,0.12,9,0.07,18.19,64.74,3.27,0.000000,0.000000,0.00
000017,08-13-2018,15:56:43,14,0.11,12,0.10,18.13,64.63,3.27,0.000000,0.000000,0.00
000018,08-13-2018,15:57:43,21,0.17,19,0.15,18.13,64.63,3.27,0.000000,0.000000,0.00
000019,08-13-2018,15:58:43,16,0.13,18,0.15,18.06,64.51,3.27,0.000000,0.000000,0.00
000020,08-13-2018,15:59:43,14,0.11,9,0.07,18.06,64.51,3.27,0.000000,0.000000,0.00
