Sample#,Date+Time,DateTime,Fl Sec,Az,El,Press,TAir,Hum,Lat,Long,Alt,Freq,RSSI,F Offs,Az Tr Offs,El Tr Offs,Sys V,Sys I,Az I,El I,MCU Stat,Rx Stat,SCA Stat,POST,SAA BIT,Rx BIT,MCU BIT,SCA BIT,CDU1 BIT,CDU2 BIT,State,Flags,THum
16,2017-09-11 10:37:30,42989.4427141,999999999.0000000,999999999.000,999999999.000,838.920,-1.530,57.390,-50.313931,-72.638626,1535.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-1.53
17,2017-09-11 10:37:31,42989.4427257,999999999.0000000,999999999.000,999999999.000,838.440,-1.620,57.470,-50.313904,-72.638405,1538.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,1,2098952,-1.62
18,2017-09-11 10:37:32,42989.4427373,999999999.0000000,999999999.000,999999999.000,838.070,-1.600,57.550,-50.313862,-72.638184,1542.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-1.60
0,2017-09-11 10:37:34,42989.4427604,999999999.0000000,999999999.000,999999999.000,837.350,-1.600,57.350,-50.313770,-72.637787,1550.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,0,2098952,-1.60
1,2017-09-11 10:37:35,42989.4427720,999999999.0000000,999999999.000,999999999.000,836.910,-1.680,57.150,-50.313747,-72.637604,1556.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-1.68
2,2017-09-11 10:37:36,42989.4427836,999999999.0000000,999999999.000,999999999.000,836.440,-1.720,57.270,-50.313725,-72.637451,1562.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-1.72
3,2017-09-11 10:37:37,42989.4427951,999999999.0000000,999999999.000,999999999.000,835.890,-1.760,57.390,-50.313683,-72.637306,1567.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-1.76
4,2017-09-11 10:37:38,42989.4428067,999999999.0000000,999999999.000,999999999.000,835.360,-1.840,57.460,-50.313641,-72.637161,1573.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-1.84
5,2017-09-11 10:37:39,42989.4428183,999999999.0000000,999999999.000,999999999.000,834.780,-1.920,57.530,-50.313614,-72.636986,1579.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-1.92
6,2017-09-11 10:37:40,42989.4428299,999999999.0000000,999999999.000,999999999.000,834.280,-2.000,57.680,-50.313614,-72.636795,1584.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-2.00
7,2017-09-11 10:37:41,42989.4428414,999999999.0000000,999999999.000,999999999.000,833.690,-2.060,57.840,-50.313633,-72.636627,1588.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-2.06
8,2017-09-11 10:37:42,42989.4428530,999999999.0000000,999999999.000,999999999.000,833.200,-2.140,57.990,-50.313644,-72.636497,1591.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.14
9,2017-09-11 10:37:43,42989.4428646,999999999.0000000,999999999.000,999999999.000,832.740,-2.110,58.270,-50.313644,-72.636322,1595.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.11
10,2017-09-11 10:37:44,42989.4428762,999999999.0000000,999999999.000,999999999.000,832.340,-2.180,58.380,-50.313644,-72.636055,1597.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.18
11,2017-09-11 10:37:45,42989.4428877,999999999.0000000,999999999.000,999999999.000,831.970,-2.110,58.380,-50.313625,-72.635773,1601.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.11
12,2017-09-11 10:37:46,42989.4428993,999999999.0000000,999999999.000,999999999.000,831.600,-2.190,58.340,-50.313599,-72.635536,1605.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.19
13,2017-09-11 10:37:47,42989.4429109,999999999.0000000,999999999.000,999999999.000,831.250,-2.190,58.420,-50.313568,-72.635345,1609.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.19
14,2017-09-11 10:37:48,42989.4429225,999999999.0000000,999999999.000,999999999.000,830.790,-2.200,58.380,-50.313545,-72.635178,1612.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.20
15,2017-09-11 10:37:49,42989.4429340,999999999.0000000,999999999.000,999999999.000,830.390,-2.230,58.340,-50.313538,-72.635017,1617.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.23
16,2017-09-11 10:37:50,42989.4429456,999999999.0000000,999999999.000,999999999.000,829.940,-2.300,58.460,-50.313530,-72.634827,1623.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.30
17,2017-09-11 10:37:51,42989.4429572,999999999.0000000,999999999.000,999999999.000,829.480,-2.320,58.570,-50.313519,-72.634628,1627.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.32
18,2017-09-11 10:37:52,42989.4429688,999999999.0000000,999999999.000,999999999.000,829.080,-2.340,58.570,-50.313503,-72.634453,1629.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.34
19,2017-09-11 10:37:53,42989.4429803,999999999.0000000,999999999.000,999999999.000,828.710,-2.350,58.610,-50.313465,-72.634315,1631.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.35
20,2017-09-11 10:37:54,42989.4429919,999999999.0000000,999999999.000,999999999.000,828.330,-2.380,58.720,-50.313419,-72.634140,1634.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.38
21,2017-09-11 10:37:55,42989.4430035,999999999.0000000,999999999.000,999999999.000,827.980,-2.390,58.610,-50.313385,-72.633896,1638.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,4,2098952,-2.39
