        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         989.90         +12.20          36.00           10.0            270
             10            1.9         989.54         +10.70          34.92           16.4            262
             20            2.7         989.18         +10.50          34.62           16.6            262
             30            3.4         988.81         +10.39          34.54           16.9            262
             40            4.1         988.45         +10.31          34.54           17.1            262
             50            4.7         988.09         +10.18          34.11           17.3            263
             60            5.3         987.72         +10.10          33.65           17.4            263
             70            5.9         987.36         +10.07          33.17           17.6            263
             80            6.5         987.00         +10.03          33.36           17.8            263
             90            7.0         986.64          +9.99          33.76           18.0            263
            100            7.6         986.27          +9.97          35.02           18.1            263
            110            8.1         985.91          +9.95          36.11           18.2            263
            120            8.6         985.55          +9.92          36.64           18.2            263
            130            9.2         985.19          +9.90          36.82           18.3            263
            140            9.7         984.83          +9.88          36.26           18.2            263
            150           10.2         984.46          +9.86          35.59           18.1            263
            160           10.7         984.10          +9.84          34.76           18.1            263
            170           11.2         983.74          +9.80          34.26           18.0            263
            180           11.8         983.38          +9.74          34.33           17.9            263
            190           12.4         983.02          +9.69          35.05           17.9            263
            200           12.9         982.66          +9.65          36.12           17.9            263
            210           13.4         982.29          +9.63          36.44           17.9            263
            220           14.0         981.93          +9.61          36.59           17.8            263
            230           14.5         981.57          +9.60          36.73           17.8            264
            240           15.0         981.21          +9.59          36.87           17.8            264
            250           15.5         980.85          +9.54          36.84           17.8            264
            260           16.0         980.49          +9.48          36.81           17.8            264
            270           16.5         980.13          +9.45          36.93           17.7            264
            280           17.0         979.77          +9.41          37.03           17.7            264
            290           17.5         979.41          +9.37          36.90           17.6            264
            300           18.0         979.05          +9.32          36.75           17.6            264
            310           18.5         978.69          +9.29          36.19           17.6            264
            320           19.0         978.33          +9.25          35.57           17.6            264
            330           19.5         977.97          +9.27          34.12           17.7            264
            340           20.0         977.61          +9.30          32.67           17.8            264
            350           20.5         977.25          +9.38          31.34           17.9            264
            360           21.0         976.89          +9.45          29.99           18.0            264
            370           21.5         976.53          +9.48          28.38           18.0            264
            380           22.0         976.17          +9.50          26.80           18.0            264
            390           22.5         975.81          +9.45          26.41           18.0            264
            400           23.0         975.45          +9.39          26.04           17.9            264
            410           23.5         975.09          +9.38          28.43           18.0            264
            420           24.0         974.73          +9.37          30.81           18.0            263
            430           24.5         974.37          +9.36          31.19           18.0            263
            440           25.0         974.01          +9.34          31.53           17.9            263
            450           25.5         973.65          +9.28          31.62           17.8            263
            460           26.0         973.30          +9.22          31.71           17.8            263
            470           26.5         972.94          +9.21          31.70           17.7            263
            480           27.0         972.58          +9.19          31.69           17.7            263
            490           27.5         972.22          +9.18          31.76           17.6            263
            500           28.0         971.86          +9.17          31.82           17.6            263
            510           28.5         971.50          +9.15          31.73           17.5            263
            520           29.0         971.15          +9.13          31.64           17.5            263
            530           29.6         970.79          +9.07          31.57           17.4            263
            540           30.1         970.43          +9.01          31.47           17.3            262
            550           30.6         970.07          +9.01          31.20           17.3            262
            560           31.1         969.72          +9.01          30.91           17.4            262
            570           31.7         969.36          +9.01          30.50           17.4            262
            580           32.2         969.00          +9.00          30.16           17.5            262
            590           32.7         968.64          +8.99          29.92           17.5            263
            600           33.3         968.29          +8.97          29.58           17.5            263
            610           33.8         967.93          +8.94          29.13           17.5            263
            620           34.3         967.57          +8.91          28.78           17.5            263
