          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +5.70          29.59           1834           18.6            270          100.4
         850.00          -0.09          40.59           4077           27.0            287          222.4
         700.00          -9.03           5.27           9060           44.6            292          539.6
         500.00         -26.34           2.17          17328           37.4            290         1006.3
         400.00         -39.54           7.52          22474           43.2            297         1265.2
         300.00         -54.56          33.02          28710           54.3            284         1596.4
         250.00         -63.18          40.05          32458           61.8            283         1759.4
         200.00         -53.29           0.10          36997           82.5            281         2014.9
         150.00         -52.67           0.54          43099           79.8            284         2352.7
         100.00         -59.39           1.87          51544           86.0            289         2750.7
          70.00         -57.95           2.05          58881          100.4            278         3210.5
          50.00         -49.06           1.16          65950           90.2            281         3669.5
          30.00         -53.75           0.35          76707           97.9            285         4341.0
          20.00         -54.02           3.01          85205          111.5            279         4779.8
           ////           ////           ////           ////           ////           ////           ////
