          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +8.10          57.93           1386           32.1            277           79.2
         850.00          +3.04          67.06           3656           42.0            293          204.0
         700.00          -5.43          72.20           8732           72.4            281          488.0
         500.00         -19.26          41.60          17175           75.2            273         1166.8
         400.00         -30.75          43.56          22479           84.6            261         1523.6
         300.00         -46.55          31.29          28950          105.8            262         1888.4
         250.00         -55.59          30.86          32844          114.9            266         2135.3
         200.00         -67.49          46.49          37377          129.0            270         2414.7
         150.00         -66.55           0.10          42977          105.1            267         2782.2
         100.00         -65.85           5.40          51090          100.7            275         3347.9
          70.00         -60.81           2.63          58234           96.6            276         3817.8
          50.00         -64.44           4.50          64993          102.3            276         4193.1
          30.00         -69.49          11.50          75023          105.3            279         4781.3
          20.00         -73.26          11.28          82784          125.1            268         5180.4
           ////           ////           ////           ////           ////           ////           ////
