        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         973.40         +13.00          51.00           18.0            270
            656           37.3         950.25          +8.93          61.60           31.0            261
           1313           75.1         927.53          +8.16          58.81           31.4            275
           2626          149.6         883.43          +5.45          61.50           36.6            292
           3938          217.3         841.02          +2.30          68.04           43.2            292
           5250          287.3         800.19          -0.39          73.63           50.0            295
           6563          371.3         761.07          -1.63          66.31           59.8            293
           7875          445.5         723.61          -4.11          72.00           66.6            285
           9843          549.3         670.31          -7.66          75.15           73.3            276
          13121          781.8         588.80         -12.32          59.42           71.6            275
          16398         1118.6         516.11         -17.42          41.56           73.7            272
          19675         1332.3         450.70         -25.56          44.41           78.3            269
          26226         1713.6         339.43         -40.57          51.92           93.3            264
          32771         2131.0         250.87         -55.33          29.76          115.2            266
          39313         2536.5         181.09         -72.72          21.75          128.1            270
          45851         3016.2         129.92         -63.27           2.93           89.1            269
          58914         3867.4          67.70         -61.33           6.49           93.6            279
          71961         4535.5          35.08         -72.52           0.24          101.6            280
          84992         5278.4          17.81         -74.69           0.10          104.3            273
           ////           ////           ////           ////           ////           ////           ////
