        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         984.40          +5.20          67.00           13.0            250
            656           39.3         962.01          +4.80          69.12           14.8            247
           1313           74.9         938.72          +3.54          68.58           24.3            259
           2625          147.0         892.86          +0.42          77.35           26.9            275
           3938          224.6         848.95          -2.67          82.28           32.6            277
           5250          301.6         807.01          -5.82          84.23           35.6            275
           6562          379.5         766.47          -8.90          77.90           40.8            265
           7875          459.3         727.72         -10.72          75.40           48.7            273
           9842          598.8         672.53         -14.69          70.32           53.2            277
          13121          864.4         588.37         -20.77          66.72           60.3            265
          16399         1162.1         513.27         -27.63          73.60           60.0            271
          19675         1377.1         445.43         -35.16          73.54           59.0            269
          26225         1864.4         330.95         -51.35          70.06           78.8            267
          32771         2335.9         240.86         -64.27          64.51           75.9            268
          39313         2905.7         174.44         -60.80          26.95           67.9            273
          45851         3261.3         126.28         -67.14          27.80           74.9            273
          58914         4349.4          65.88         -61.50          16.99           84.1            269
          71961         5211.4          33.71         -74.41          18.40          105.0            281
          84992         6190.7          16.50         -68.24          24.87          162.2            280
          98006         6891.1           8.14         -62.59          21.86          151.2            283
