        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         976.10          +4.70          43.00           10.0            180
            656           33.2         952.15          +0.50          44.61           28.9            273
           1313           68.4         928.61          -1.47          50.79           27.5            269
           2626          145.0         882.74          -5.29          47.11           25.7            265
           3938          223.8         838.59          -8.95          58.08           24.9            259
           5250          325.8         796.07         -12.54          60.92           32.0            258
           6563          454.9         755.18         -14.94          32.07           50.3            252
           7875          524.2         716.15         -16.84          10.02           49.2            248
           9843          595.3         660.66         -20.84           6.20           42.6            239
          13121          716.6         575.76         -28.04          15.38           34.9            246
          16398          914.9         499.86         -35.11          18.21           34.2            249
          19675         1155.4         432.19         -42.46          13.93           33.4            263
          26226         1542.6         318.35         -50.07           4.76           74.9            282
          32771         1919.5         234.22         -54.17           4.03           69.4            284
          39313         2401.0         171.29         -54.44           1.91           81.7            288
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
