        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         976.10          +4.70          43.00           10.0            180
             10            0.2         975.73          +4.34          41.28            9.6            218
             20            0.4         975.37          +3.98          39.56           13.0            247
             30            0.6         975.00          +3.62          37.85           18.1            261
             40            0.8         974.63          +3.26          36.13           23.8            269
             50            1.0         974.27          +2.93          34.47           29.2            274
             60            1.4         973.90          +2.84          33.27           29.2            274
             70            1.8         973.53          +2.74          32.07           29.2            274
             80            2.3         973.17          +2.66          34.59           29.1            274
             90            2.8         972.80          +2.59          39.72           29.0            274
            100            3.3         972.43          +2.52          42.03           28.9            274
            110            3.8         972.06          +2.46          42.11           28.7            274
            120            4.4         971.70          +2.43          42.22           28.7            275
            130            5.0         971.33          +2.41          42.34           28.7            275
            140            5.5         970.96          +2.38          42.14           28.7            275
            150            6.1         970.60          +2.32          41.84           28.8            275
            160            6.7         970.23          +2.19          41.25           28.9            275
            170            7.3         969.86          +2.06          40.67           28.9            275
            180            7.9         969.50          +1.92          40.10           28.9            275
            190            8.4         969.13          +1.84          40.04           28.9            274
            200            9.0         968.76          +1.78          40.14           28.9            274
            210            9.6         968.40          +1.75          40.42           28.8            274
            220           10.2         968.03          +1.71          40.68           28.7            274
            230           10.8         967.66          +1.65          40.89           28.6            274
            240           11.3         967.30          +1.62          41.25           28.5            274
            250           11.8         966.93          +1.60          41.69           28.5            274
            260           12.4         966.57          +1.59          42.14           28.4            274
            270           13.0         966.20          +1.57          42.60           28.5            273
            280           13.6         965.83          +1.56          42.84           28.5            273
            290           14.1         965.47          +1.54          43.06           28.6            273
            300           14.7         965.10          +1.52          43.24           28.7            273
            310           15.3         964.74          +1.49          43.35           28.8            273
            320           15.9         964.37          +1.46          43.39           28.8            274
            330           16.5         964.01          +1.43          43.42           28.9            274
            340           17.0         963.64          +1.40          43.45           28.9            274
            350           17.6         963.28          +1.36          43.59           29.0            274
            360           18.1         962.91          +1.33          43.69           29.1            274
            370           18.7         962.55          +1.31          43.67           29.2            274
            380           19.2         962.18          +1.28          43.65           29.2            274
            390           19.7         961.82          +1.26          43.61           29.2            274
            400           20.2         961.45          +1.23          43.66           29.2            273
            410           20.8         961.09          +1.20          43.80           29.2            273
            420           21.3         960.72          +1.18          43.99           29.1            273
            430           21.8         960.36          +1.16          44.21           29.1            273
            440           22.4         959.99          +1.14          44.36           29.0            273
            450           22.9         959.63          +1.12          44.48           29.0            273
            460           23.4         959.27          +1.10          44.69           28.9            273
            470           23.9         958.90          +1.08          44.92           28.9            273
            480           24.4         958.54          +1.06          45.03           28.8            273
            490           24.9         958.17          +1.04          45.12           28.8            273
            500           25.4         957.81          +1.00          45.04           28.7            273
            510           25.9         957.45          +0.97          44.92           28.7            273
            520           26.4         957.08          +0.93          44.81           28.6            273
            530           26.9         956.72          +0.89          44.69           28.6            273
            540           27.4         956.36          +0.86          44.83           28.6            273
            550           27.9         955.99          +0.83          45.02           28.6            273
            560           28.4         955.63          +0.80          45.08           28.6            273
            570           28.9         955.27          +0.77          45.12           28.6            273
            580           29.4         954.90          +0.74          45.19           28.6            273
            590           29.9         954.54          +0.72          45.27           28.7            273
            600           30.4         954.18          +0.68          45.48           28.8            273
            610           30.9         953.82          +0.65          45.72           28.9            273
            620           31.4         953.45          +0.62          45.69           28.9            273
