        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         989.10         +13.70           0.00            0.0              0
            656           76.1         965.63          +9.16          10.80           18.4            277
           1313          152.3         942.36          +4.61          21.57           18.4            277
           2625          291.9         896.58          -1.14          34.36           20.9            275
           3938          422.7         852.39          -4.89          40.82           20.4            287
           5250          520.2         809.92          -7.33          40.36           21.5            289
           6562          587.2         769.51          -6.21          21.75           36.9            287
           7875          639.7         731.00          -8.12          15.14           46.5            285
           9842          753.0         676.38         -11.14          18.03           53.6            282
          13121         1021.5         593.08         -16.10          47.16           40.1            291
          16399         1189.8         518.68         -21.68          74.77           25.8            261
          19675         1369.6         451.96         -29.15          74.97           25.3            264
          26225         1761.8         338.90         -43.13          62.63           46.1            249
          32771         2162.5         248.82         -60.46          55.54           69.8            242
          39313         2717.7         179.83         -62.03          50.41           22.9            262
          45851         3265.7         130.24         -62.86          48.08           56.9            258
          58914         4194.9          68.03         -68.33          42.38           70.4            265
          71961         5202.2          34.94         -68.79          30.93          101.1            275
          84992         6068.7          17.86         -70.29          35.12          128.3            266
          98006         6878.3           9.33         -53.92          24.17          148.1            270
