          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +1.23          29.51           1806           19.2            280          208.9
         850.00          -4.98          40.59           4010           20.3            287          427.3
         700.00          -9.46           7.85           8975           54.6            282          685.8
         500.00         -23.85          81.61          17281           22.8            259         1236.0
         400.00         -35.36          67.30          22501           33.5            255         1555.2
         300.00         -50.74          58.58          28874           54.2            245         1918.1
         250.00         -60.23          55.80          32675           69.5            241         2154.5
         200.00         -61.82          49.44          37151           49.7            237         2594.9
         150.00         -60.33          49.83          42984           47.0            254         3071.0
         100.00         -62.45          48.20          51196           56.8            269         3628.2
          70.00         -67.41          46.80          58351           73.3            266         4153.1
          50.00         -70.62          29.40          64954           89.2            264         4661.4
          30.00         -72.41          39.38          74933          110.0            270         5350.8
          20.00         -68.71          39.53          82781          124.9            268         5982.1
          10.00         -56.12          25.09          96551          138.7            262         6811.6
