          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +3.01          56.53           1678           15.8            281           90.8
         850.00          -2.41          64.29           3854           37.1            276          221.6
         700.00         -13.44          40.98           8799           57.8            265          585.2
         500.00         -28.84           2.80          16953           72.6            255         1233.7
         400.00         -40.21           5.58          22064           76.6            261         1720.4
         300.00         -53.64           4.09          28287           74.2            265         2119.3
         250.00         -61.90           7.45          31995           72.8            270         2380.8
         200.00         -67.52           7.83          36459           80.1            264         2618.8
         150.00         -68.57           8.10          42110           93.6            267         3037.9
         100.00         -65.61           2.94          50071          115.9            268         3684.4
          70.00         -65.36           4.17          57197          109.3            270         4175.2
          50.00         -73.43           6.84          63595          115.3            265         4404.1
          30.00         -76.35           5.79          73118          145.1            268         5007.7
          20.00         -70.55           4.05          80445          158.5            285         5508.0
           ////           ////           ////           ////           ////           ////           ////
