          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          -1.63          88.08           1464           25.9            270           77.5
         850.00          -5.80          67.24           3659           32.2            274          201.4
         700.00         -16.45          21.31           8549           48.3            281          495.0
         500.00         -37.17          37.76          16487           57.3            298          873.4
         400.00         -43.35           5.65          21494           96.4            300         1201.6
         300.00         -50.93           2.57          27722           74.4            297         1592.5
         250.00         -52.33           2.56          31600           73.9            297         1832.4
         200.00         -52.78           1.59          36350           58.7            323         2151.6
         150.00         -59.91           2.38          42323           72.6            305         2526.2
         100.00         -59.91           1.75          50577          109.7            285         3027.8
          70.00         -54.07           1.64          57978          125.9            273         3557.1
          50.00         -53.84           0.84          65068           98.7            270         3953.0
          30.00         -62.40           0.87          75637           96.4            288         4576.4
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
