        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         987.50          +4.80          53.00            3.0            180
            656           29.5         963.84          +8.46          30.59           11.0            336
           1313           68.6         940.78          +8.09          26.49           10.0            328
           2626          143.9         895.99          +6.67          20.01           13.4            298
           3938          222.8         853.12          +3.97          18.95           15.5            307
           5250          303.0         811.94          +2.32          12.37           31.4            293
           6563          394.7         772.46          -0.12           9.60           38.2            290
           7875          471.9         734.62          -1.30           6.07           44.7            284
           9843          570.0         680.89          -4.45           7.58           64.1            280
          13121          756.8         599.71          -7.13          39.57           58.7            280
          16398          922.9         526.54         -14.65          36.58           55.6            289
          19675         1133.0         460.75         -21.40           0.99           53.1            299
          26226         1511.8         348.25         -38.10           9.49           49.8            324
          32771         1846.3         257.50         -56.37          25.02           54.9            302
          39313         2183.8         185.59         -73.82          28.16           66.1            298
          45851         2610.2         133.02         -61.41          24.18           84.9            280
          58914         3363.4          69.63         -67.76           9.61           73.5            280
          71961         4156.2          35.40         -73.96           8.78          109.1            274
          84992         4986.4          17.91         -72.74           6.14          141.3            271
          98006         5674.1           9.07         -61.79           2.76          127.8            277
