          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +7.27          26.01           1769            8.9            297           92.6
         850.00          +3.80          18.58           4036           16.8            303          228.8
         700.00          -4.44           5.21           9128           59.4            278          537.2
         500.00         -16.36           1.62          17679           58.7            295          997.0
         400.00         -29.53          12.32          23039           45.1            312         1337.3
         300.00         -47.30          12.85          29524           52.4            312         1678.7
         250.00         -57.97          27.46          33384           54.9            301         1878.9
         200.00         -70.18          29.59          37868           59.4            301         2108.7
         150.00         -65.19          30.06          43425           78.2            287         2463.4
         100.00         -62.44           9.51          51683           71.0            286         2914.3
          70.00         -67.46           8.94          58810           73.7            280         3360.2
          50.00         -70.51           9.48          65336           97.1            266         3765.7
          30.00         -73.67           8.10          75117          118.0            267         4391.0
          20.00         -74.62           8.28          82882          144.1            268         4814.8
          10.00         -72.33           4.71          96070          159.6            278         5481.6
