          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +2.76          72.38           1146           28.2            259           74.5
         850.00          -1.63          57.20           3352           38.2            258          207.9
         700.00         -12.57          55.72           8314           39.8            266          485.0
         500.00         -31.36          64.44          16399           34.6            317         1006.1
         400.00         -44.60          63.62          21433           32.5            355         1262.2
         300.00         -55.43          26.43          27512           38.6            326         1619.7
         250.00         -59.02          23.64          31260           39.6            303         1904.0
         200.00         -60.11          21.55          35815           56.1            287         2207.0
         150.00         -57.62          20.66          41664           76.9            274         2642.3
         100.00         -61.46          13.11          49925           90.2            275         3115.1
          70.00         -62.82          10.29          57146           97.9            279         3640.1
          50.00         -66.68          10.93          63635          118.7            283         4007.5
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
