"TOA5","CR6PerlanScience","CR6","3222","CR6.Std.03.41","CPU:perlan.CR6","39859","Table1"
"TIMESTAMP","RECORD","AirTC","RH"
"TS","RN","Deg C","%"
"","","Smp","Smp"
"2018-09-02 11:56:17",140,-80,0
"2018-09-02 11:56:18",141,-80,0.001
"2018-09-02 11:56:19",142,-80,0.001
"2018-09-02 11:56:20",143,-80,0.001
"2018-09-02 11:56:21",144,-80,0.001
"2018-09-02 11:56:22",145,-80,0.001
"2018-09-02 11:56:23",146,-80,0
"2018-09-02 11:56:24",147,-80,0
"2018-09-02 11:56:25",148,-80,0.001
"2018-09-02 11:56:26",149,-80,0
"2018-09-02 11:56:27",150,-80,0.001
"2018-09-02 11:56:28",151,-80,0.001
"2018-09-02 11:56:29",152,-80,0
"2018-09-02 11:56:30",153,-80,0
"2018-09-02 11:56:31",154,-80,0.001
"2018-09-02 11:56:32",155,-80,0.001
"2018-09-02 11:56:33",156,-80,0.001
"2018-09-02 11:56:34",157,-80,0
"2018-09-02 11:56:35",158,-80,0.001
"2018-09-02 11:56:36",159,-80,0
"2018-09-02 11:56:37",160,-80,0.001
"2018-09-02 11:56:38",161,-80,0.001
"2018-09-02 11:56:39",162,-80,0.001
"2018-09-02 11:56:40",163,-80,0.001
"2018-09-02 11:56:41",164,-80,0.001
"2018-09-02 11:56:42",165,-80,0
"2018-09-02 11:56:43",166,-80,0.001
"2018-09-02 11:56:44",167,-80,0.001
"2018-09-02 11:56:45",168,-80,0
"2018-09-02 11:56:46",169,-80,0.001
"2018-09-02 11:56:47",170,-80,0.001
"2018-09-02 11:56:48",171,-80,0
"2018-09-02 11:56:49",172,-80,0.001
"2018-09-02 11:56:50",173,-80,0.001
"2018-09-02 11:56:51",174,-80,0
"2018-09-02 11:56:52",175,-80,0.001
"2018-09-02 11:56:53",176,-80,0.001
"2018-09-02 11:56:54",177,-80,0
"2018-09-02 11:56:55",178,-80,0.001
"2018-09-02 11:56:56",179,-80,0.001
"2018-09-02 11:56:57",180,-80,0.001
"2018-09-02 11:56:58",181,-80,0
"2018-09-02 11:56:59",182,-80,0.001
"2018-09-02 11:57:00",183,-80,0
"2018-09-02 11:57:01",184,-80,0
"2018-09-02 11:57:02",185,-80,0
"2018-09-02 11:57:03",186,-80,0.001
"2018-09-02 11:57:04",187,-80,0
"2018-09-02 11:57:05",188,-80,0
"2018-09-02 11:57:06",189,-80,0
"2018-09-02 11:57:07",190,-80,0
"2018-09-02 11:57:08",191,-80,0
"2018-09-02 11:57:09",192,-80,0
"2018-09-02 11:57:10",193,-80,0.001
"2018-09-02 11:57:11",194,-80,0.001
"2018-09-02 11:57:12",195,-80,0.001
"2018-09-02 11:57:13",196,-80,0
"2018-09-02 11:57:14",197,-80,0.001
"2018-09-02 11:57:15",198,-80,0.001
"2018-09-02 11:57:16",199,-80,0
"2018-09-02 11:57:17",200,-80,0
"2018-09-02 11:57:18",201,-80,0
"2018-09-02 11:57:19",202,-80,0
"2018-09-02 11:57:20",203,-80,0.001
"2018-09-02 11:57:21",204,-80,0.001
"2018-09-02 11:57:22",205,-80,0.001
"2018-09-02 11:57:23",206,-80,0.001
"2018-09-02 11:57:24",207,-80,0.001
"2018-09-02 11:57:25",208,-80,0.001
"2018-09-02 11:57:40",209,6.07,64.49
"2018-09-02 11:57:41",210,6.081,64.4
"2018-09-02 11:57:42",211,6.005,64.43
"2018-09-02 11:57:43",212,6.094,64.49
"2018-09-02 11:57:44",213,6.004,64.43
"2018-09-02 11:57:45",214,6.095,64.5
"2018-09-02 11:57:46",215,6.003,64.46
"2018-09-02 11:57:47",216,6.014,64.45
"2018-09-02 11:57:48",217,6.088,64.49
"2018-09-02 11:57:49",218,6.009,64.47
"2018-09-02 11:57:50",219,6.105,64.53
"2018-09-02 11:57:51",220,6.014,64.47
"2018-09-02 11:57:52",221,6.036,64.53
"2018-09-02 11:57:53",222,6.014,64.47
"2018-09-02 11:57:54",223,6.028,64.45
"2018-09-02 11:57:55",224,6.094,64.53
"2018-09-02 11:57:56",225,6.009,64.5
"2018-09-02 11:57:57",226,6.107,64.57
"2018-09-02 11:57:58",227,6.012,64.5
"2018-09-02 11:57:59",228,6.101,64.56
"2018-09-02 11:58:00",229,6.015,64.51
"2018-09-02 11:58:01",230,6.078,64.43
"2018-09-02 11:58:02",231,6.106,64.53
"2018-09-02 11:58:03",232,6.009,64.5
"2018-09-02 11:58:04",233,6.114,64.58
"2018-09-02 11:58:05",234,6.011,64.5
"2018-09-02 11:58:06",235,6.112,64.56
"2018-09-02 11:58:07",236,6.013,64.51
"2018-09-02 11:58:08",237,6.087,64.42
"2018-09-02 11:58:09",238,6.104,64.53
"2018-09-02 11:58:10",239,6.008,64.5
"2018-09-02 11:58:11",240,6.12,64.58
"2018-09-02 11:58:12",241,6.01,64.5
"2018-09-02 11:58:13",242,6.118,64.58
"2018-09-02 11:58:14",243,6.012,64.51
"2018-09-02 11:58:15",244,6.052,64.55
"2018-09-02 11:58:16",245,6.187,64.69
"2018-09-02 11:58:17",246,6.034,64.45
"2018-09-02 11:58:18",247,6.102,64.55
"2018-09-02 11:58:19",248,6.01,64.5
"2018-09-02 11:58:20",249,6.119,64.58
"2018-09-02 11:58:21",250,6.01,64.5
"2018-09-02 11:58:22",251,6.094,64.62
"2018-09-02 11:58:23",252,6.098,64.5
"2018-09-02 11:58:24",253,6.017,64.5
"2018-09-02 11:58:25",254,6.115,64.57
"2018-09-02 11:58:26",255,6.013,64.5
"2018-09-02 11:58:27",256,6.085,64.62
"2018-09-02 11:58:28",257,6.182,64.68
"2018-09-02 11:58:29",258,6.03,64.46
"2018-09-02 11:58:30",259,6.091,64.54
"2018-09-02 11:58:31",260,6.02,64.51
"2018-09-02 11:58:32",261,6.109,64.57
"2018-09-02 11:58:33",262,6.018,64.51
"2018-09-02 11:58:34",263,6.05,64.59
"2018-09-02 11:58:35",264,6.177,64.71
"2018-09-02 11:58:36",265,6.018,64.5
"2018-09-02 11:58:37",266,6.093,64.55
"2018-09-02 11:58:38",267,6.02,64.51
"2018-09-02 11:58:39",268,6.114,64.57
"2018-09-02 11:58:40",269,6.021,64.51
"2018-09-02 11:58:41",270,6.042,64.63
"2018-09-02 11:58:42",271,6.199,64.67
"2018-09-02 11:58:43",272,6.013,64.5
"2018-09-02 11:58:44",273,6.119,64.58
"2018-09-02 11:58:45",274,6.015,64.51
"2018-09-02 11:58:46",275,6.11,64.57
"2018-09-02 11:58:47",276,6.028,64.74
"2018-09-02 11:58:48",277,6.012,64.49
"2018-09-02 11:58:49",278,6.104,64.56
"2018-09-02 11:58:50",279,6.012,64.5
"2018-09-02 11:58:51",280,6.123,64.59
"2018-09-02 11:58:52",281,6.013,64.5
"2018-09-02 11:58:53",282,6.034,64.6
"2018-09-02 11:58:54",283,6.014,64.51
"2018-09-02 11:58:55",284,6.1,64.59
"2018-09-02 11:58:56",285,6.105,64.52
"2018-09-02 11:58:57",286,6.015,64.49
"2018-09-02 11:58:58",287,6.1,64.56
"2018-09-02 11:58:59",288,6.012,64.5
"2018-09-02 11:59:00",289,6.123,64.59
"2018-09-02 11:59:01",290,6.013,64.5
"2018-09-02 11:59:02",291,6.041,64.55
"2018-09-02 11:59:03",292,6.187,64.63
"2018-09-02 11:59:04",293,6.019,64.47
"2018-09-02 11:59:05",294,6.118,64.54
"2018-09-02 11:59:06",295,6.016,64.47
"2018-09-02 11:59:07",296,6.116,64.55
"2018-09-02 11:59:08",297,6.015,64.47
"2018-09-02 11:59:09",298,6.096,64.58
"2018-09-02 11:59:10",299,6.102,64.48
"2018-09-02 11:59:11",300,6.024,64.48
"2018-09-02 11:59:12",301,6.114,64.51
"2018-09-02 11:59:13",302,6.022,64.44
"2018-09-02 11:59:14",303,6.111,64.51
"2018-09-02 11:59:15",304,6.189,64.62
"2018-09-02 11:59:16",305,6.018,64.44
"2018-09-02 11:59:17",306,6.105,64.5
"2018-09-02 11:59:18",307,6.022,64.45
"2018-09-02 11:59:19",308,6.108,64.5
"2018-09-02 11:59:20",309,6.023,64.45
"2018-09-02 11:59:21",310,6.094,64.54
"2018-09-02 11:59:22",311,6.12,64.44
"2018-09-02 11:59:23",312,6.014,64.44
"2018-09-02 11:59:24",313,6.121,64.51
"2018-09-02 11:59:25",314,6.015,64.44
"2018-09-02 11:59:26",315,6.113,64.51
"2018-09-02 11:59:27",316,6.17,64.65
"2018-09-02 11:59:28",317,6.013,64.43
"2018-09-02 11:59:29",318,6.101,64.47
"2018-09-02 11:59:30",319,6.012,64.41
"2018-09-02 11:59:31",320,6.126,64.48
"2018-09-02 11:59:32",321,6.011,64.41
"2018-09-02 11:59:33",322,6.024,64.37
"2018-09-02 11:59:34",323,6.096,64.45
"2018-09-02 11:59:35",324,6.019,64.41
"2018-09-02 11:59:36",325,6.118,64.48
"2018-09-02 11:59:37",326,6.015,64.41
"2018-09-02 11:59:38",327,6.102,64.5
"2018-09-02 11:59:39",328,6.186,64.58
"2018-09-02 11:59:40",329,6.023,64.41
"2018-09-02 11:59:41",330,6.119,64.47
"2018-09-02 11:59:42",331,6.025,64.41
"2018-09-02 11:59:43",332,6.11,64.48
"2018-09-02 11:59:44",333,6.021,64.41
"2018-09-02 11:59:45",334,6.099,64.5
"2018-09-02 11:59:46",335,6.104,64.41
"2018-09-02 11:59:47",336,6.018,64.41
"2018-09-02 11:59:48",337,6.113,64.47
"2018-09-02 11:59:49",338,6.022,64.41
