COUNT, UTC_D, UTC_T, CPM_1, uSv/h_1, CPM_2, uSv/h_2, TMP102_C, TMP102_F, VBat, Lat, Lon, Alt
000000,08-17-2018,14:29:34,22,0.18,17,0.14,19.81,67.66,3.32,0.000000,0.000000,0.00
000001,08-17-2018,14:30:34,15,0.12,14,0.11,19.88,67.77,3.32,0.000000,0.000000,0.00
000002,08-17-2018,14:31:34,21,0.17,14,0.11,20.06,68.11,3.32,0.000000,0.000000,0.00
000003,08-17-2018,14:32:34,18,0.15,10,0.08,20.13,68.22,3.32,0.000000,0.000000,0.00
000004,08-17-2018,14:33:34,14,0.11,10,0.08,20.19,68.34,3.32,0.000000,0.000000,0.00
000005,08-17-2018,14:34:34,11,0.09,11,0.09,20.25,68.45,3.32,0.000000,0.000000,0.00
000006,08-17-2018,14:35:34,23,0.19,14,0.11,20.25,68.45,3.32,0.000000,0.000000,0.00
000007,08-17-2018,14:36:34,11,0.09,17,0.14,20.31,68.56,3.32,0.000000,0.000000,0.00
000008,08-17-2018,14:37:34,12,0.10,9,0.07,20.25,68.45,3.32,0.000000,0.000000,0.00
000009,08-17-2018,14:38:34,16,0.13,17,0.14,20.25,68.45,3.32,0.000000,0.000000,0.00
000010,08-17-2018,14:39:34,8,0.06,18,0.15,20.25,68.45,3.31,0.000000,0.000000,0.00
000011,08-17-2018,14:40:34,18,0.15,17,0.14,20.19,68.34,3.32,0.000000,0.000000,0.00
000012,08-17-2018,14:41:34,16,0.13,13,0.11,20.19,68.34,3.31,0.000000,0.000000,0.00
000013,08-17-2018,14:42:34,21,0.17,14,0.11,20.19,68.34,3.31,0.000000,0.000000,0.00
000014,08-17-2018,14:43:34,12,0.10,13,0.11,20.13,68.22,3.31,0.000000,0.000000,0.00
000015,08-17-2018,14:44:34,20,0.16,15,0.12,20.06,68.11,3.31,0.000000,0.000000,0.00
000016,08-17-2018,14:45:34,24,0.19,21,0.17,20.06,68.11,3.31,0.000000,0.000000,0.00
000017,08-17-2018,14:46:34,14,0.11,12,0.10,20.00,68.00,3.31,0.000000,0.000000,0.00
000018,08-17-2018,14:47:34,11,0.09,14,0.11,20.00,68.00,3.31,0.000000,0.000000,0.00
000019,08-17-2018,14:48:34,15,0.12,17,0.14,19.94,67.89,3.31,0.000000,0.000000,0.00
000020,08-17-2018,14:49:34,18,0.15,14,0.11,19.88,67.77,3.31,0.000000,0.000000,0.00
000021,08-17-2018,14:50:34,15,0.12,18,0.15,19.88,67.77,3.31,0.000000,0.000000,0.00
000022,08-17-2018,14:51:34,19,0.15,17,0.14,19.88,67.77,3.31,0.000000,0.000000,0.00
000023,08-17-2018,14:52:34,21,0.17,13,0.11,19.81,67.66,3.31,0.000000,0.000000,0.00
000024,08-17-2018,14:53:34,13,0.11,16,0.13,19.75,67.55,3.31,0.000000,0.000000,0.00
000025,08-17-2018,14:54:34,19,0.15,12,0.10,19.75,67.55,3.31,0.000000,0.000000,0.00
000026,08-17-2018,14:55:34,13,0.11,15,0.12,19.69,67.44,3.31,0.000000,0.000000,0.00
000027,08-17-2018,14:56:34,14,0.11,8,0.06,19.69,67.44,3.31,0.000000,0.000000,0.00
000028,08-17-2018,14:57:34,11,0.09,17,0.14,19.63,67.32,3.30,0.000000,0.000000,0.00
000029,08-17-2018,14:58:34,13,0.11,17,0.14,19.63,67.32,3.31,0.000000,0.000000,0.00
000030,08-17-2018,14:59:34,17,0.14,9,0.07,19.56,67.21,3.31,0.000000,0.000000,0.00
000031,08-17-2018,15:00:34,14,0.11,10,0.08,19.56,67.21,3.31,0.000000,0.000000,0.00
000032,08-17-2018,15:01:34,19,0.15,19,0.15,19.56,67.21,3.31,0.000000,0.000000,0.00
000033,08-17-2018,15:02:34,12,0.10,19,0.15,19.50,67.10,3.31,0.000000,0.000000,0.00
000034,08-17-2018,15:03:34,14,0.11,12,0.10,19.50,67.10,3.31,0.000000,0.000000,0.00
000035,08-17-2018,15:04:34,8,0.06,14,0.11,19.50,67.10,3.31,0.000000,0.000000,0.00
000036,08-17-2018,15:05:34,17,0.14,16,0.13,19.44,66.99,3.30,0.000000,0.000000,0.00
000037,08-17-2018,15:06:34,13,0.11,9,0.07,19.44,66.99,3.30,0.000000,0.000000,0.00
000038,08-17-2018,15:07:34,17,0.14,17,0.14,19.44,66.99,3.30,0.000000,0.000000,0.00
