COUNT, UTC_D, UTC_T, CPM_1, uSv/h_1, CPM_2, uSv/h_2, TMP102_C, TMP102_F, VBat, Lat, Lon, Alt
000039,08-17-2018,15:08:34,16,0.13,14,0.11,19.44,66.99,3.30,0.000000,0.000000,0.00
000040,08-17-2018,15:09:34,22,0.18,8,0.06,19.44,66.99,3.31,0.000000,0.000000,0.00
000041,08-17-2018,15:10:34,20,0.16,16,0.13,19.38,66.88,3.30,0.000000,0.000000,0.00
000042,08-17-2018,15:11:34,17,0.14,12,0.10,19.38,66.88,3.30,0.000000,0.000000,0.00
000043,08-17-2018,15:12:34,19,0.15,12,0.10,19.38,66.88,3.30,0.000000,0.000000,0.00
000044,08-17-2018,15:13:34,14,0.11,13,0.11,19.38,66.88,3.30,0.000000,0.000000,0.00
000045,08-17-2018,15:14:34,8,0.06,18,0.15,19.31,66.76,3.30,0.000000,0.000000,0.00
000046,08-17-2018,15:15:34,16,0.13,16,0.13,19.31,66.76,3.30,0.000000,0.000000,0.00
000047,08-17-2018,15:16:34,15,0.12,18,0.15,19.31,66.76,3.30,0.000000,0.000000,0.00
000048,08-17-2018,15:17:34,11,0.09,20,0.16,19.31,66.76,3.30,0.000000,0.000000,0.00
000049,08-17-2018,15:18:34,17,0.14,11,0.09,19.31,66.76,3.30,0.000000,0.000000,0.00
000050,08-17-2018,15:19:34,22,0.18,13,0.11,19.31,66.76,3.30,0.000000,0.000000,0.00
000051,08-17-2018,15:20:34,14,0.11,16,0.13,19.31,66.76,3.30,0.000000,0.000000,0.00
000052,08-17-2018,15:21:34,15,0.12,19,0.15,19.31,66.76,3.30,0.000000,0.000000,0.00
000053,08-17-2018,15:22:34,15,0.12,11,0.09,19.25,66.65,3.30,0.000000,0.000000,0.00
000054,08-17-2018,15:23:34,18,0.15,16,0.13,19.25,66.65,3.30,0.000000,0.000000,0.00
000055,08-17-2018,15:24:34,19,0.15,18,0.15,19.25,66.65,3.30,0.000000,0.000000,0.00
000056,08-17-2018,15:25:34,17,0.14,16,0.13,19.25,66.65,3.30,0.000000,0.000000,0.00
000057,08-17-2018,15:26:34,17,0.14,19,0.15,19.25,66.65,3.30,0.000000,0.000000,0.00
000058,08-17-2018,15:27:34,12,0.10,10,0.08,19.25,66.65,3.30,0.000000,0.000000,0.00
000059,08-17-2018,15:28:34,14,0.11,18,0.15,19.25,66.65,3.30,0.000000,0.000000,0.00
000060,08-17-2018,15:29:34,18,0.15,16,0.13,19.25,66.65,3.30,0.000000,0.000000,0.00
000061,08-17-2018,15:30:34,18,0.15,15,0.12,19.25,66.65,3.30,0.000000,0.000000,0.00
000062,08-17-2018,15:31:34,14,0.11,17,0.14,19.19,66.54,3.30,0.000000,0.000000,0.00
000063,08-17-2018,15:32:34,16,0.13,13,0.11,19.25,66.65,3.30,0.000000,0.000000,0.00
000064,08-17-2018,15:33:34,17,0.14,19,0.15,19.25,66.65,3.30,0.000000,0.000000,0.00
000065,08-17-2018,15:34:34,15,0.12,8,0.06,19.25,66.65,3.30,0.000000,0.000000,0.00
000066,08-17-2018,15:35:34,12,0.10,18,0.15,19.19,66.54,3.30,0.000000,0.000000,0.00
000067,08-17-2018,15:36:34,17,0.14,13,0.11,19.19,66.54,3.30,0.000000,0.000000,0.00
000068,08-17-2018,15:37:34,15,0.12,13,0.11,19.19,66.54,3.30,0.000000,0.000000,0.00
000069,08-17-2018,15:38:34,24,0.19,17,0.14,19.19,66.54,3.29,0.000000,0.000000,0.00
000070,08-17-2018,15:39:34,15,0.12,18,0.15,19.19,66.54,3.29,0.000000,0.000000,0.00
000071,08-17-2018,15:40:34,13,0.11,13,0.11,19.19,66.54,3.30,0.000000,0.000000,0.00
000072,08-17-2018,15:41:34,21,0.17,8,0.06,19.13,66.43,3.30,0.000000,0.000000,0.00
000073,08-17-2018,15:42:34,15,0.12,13,0.11,19.06,66.31,3.30,0.000000,0.000000,0.00
000074,08-17-2018,15:43:34,14,0.11,20,0.16,19.06,66.31,3.29,0.000000,0.000000,0.00
000075,08-17-2018,15:44:34,12,0.10,13,0.11,19.06,66.31,3.29,0.000000,0.000000,0.00
000076,08-17-2018,15:45:34,13,0.11,17,0.14,19.00,66.20,3.30,0.000000,0.000000,0.00
000077,08-17-2018,15:46:34,10,0.08,12,0.10,19.06,66.31,3.29,0.000000,0.000000,0.00
000078,08-17-2018,15:47:34,21,0.17,20,0.16,19.00,66.20,3.29,0.000000,0.000000,0.00
000079,08-17-2018,15:48:34,10,0.08,15,0.12,19.00,66.20,3.29,0.000000,0.000000,0.00
000080,08-17-2018,15:49:34,13,0.11,16,0.13,19.00,66.20,3.29,0.000000,0.000000,0.00
000081,08-17-2018,15:50:34,15,0.12,14,0.11,19.00,66.20,3.29,0.000000,0.000000,0.00
000082,08-17-2018,15:51:34,17,0.14,18,0.15,19.00,66.20,3.29,0.000000,0.000000,0.00
000083,08-17-2018,15:52:34,16,0.13,13,0.11,19.06,66.31,3.29,0.000000,0.000000,0.00
000084,08-17-2018,15:53:34,13,0.11,11,0.09,19.00,66.20,3.29,0.000000,0.000000,0.00
000085,08-17-2018,15:54:34,9,0.07,16,0.13,19.00,66.20,3.29,0.000000,0.000000,0.00
000086,08-17-2018,15:55:34,15,0.12,12,0.10,19.00,66.20,3.29,0.000000,0.000000,0.00
000087,08-17-2018,15:56:34,16,0.13,8,0.06,18.94,66.09,3.29,0.000000,0.000000,0.00
000088,08-17-2018,15:57:34,12,0.10,13,0.11,18.88,65.97,3.29,0.000000,0.000000,0.00
000089,08-17-2018,15:58:34,13,0.11,9,0.07,18.94,66.09,3.29,0.000000,0.000000,0.00
000090,08-17-2018,15:59:34,16,0.13,18,0.15,18.88,65.97,3.29,0.000000,0.000000,0.00
000091,08-17-2018,16:00:34,16,0.13,13,0.11,18.88,65.97,3.29,0.000000,0.000000,0.00
000092,08-17-2018,16:01:34,15,0.12,18,0.15,18.88,65.97,3.29,0.000000,0.000000,0.00
000093,08-17-2018,16:02:34,17,0.14,18,0.15,18.88,65.97,3.29,0.000000,0.000000,0.00
000094,08-17-2018,16:03:34,17,0.14,11,0.09,18.88,65.97,3.29,0.000000,0.000000,0.00
000095,08-17-2018,16:04:34,18,0.15,14,0.11,18.81,65.86,3.29,0.000000,0.000000,0.00
000096,08-17-2018,16:05:34,23,0.19,20,0.16,18.75,65.75,3.29,0.000000,0.000000,0.00
000097,08-17-2018,16:06:34,16,0.13,12,0.10,18.75,65.75,3.29,0.000000,0.000000,0.00
000098,08-17-2018,16:07:34,12,0.10,15,0.12,18.75,65.75,3.29,0.000000,0.000000,0.00
000099,08-17-2018,16:08:34,16,0.13,6,0.05,18.75,65.75,3.29,0.000000,0.000000,0.00
000100,08-17-2018,16:09:34,15,0.12,10,0.08,18.69,65.64,3.29,0.000000,0.000000,0.00
000101,08-17-2018,16:10:34,12,0.10,7,0.06,18.69,65.64,3.29,0.000000,0.000000,0.00
000102,08-17-2018,16:11:34,10,0.08,10,0.08,18.69,65.64,3.29,0.000000,0.000000,0.00
000103,08-17-2018,16:12:34,13,0.11,9,0.07,18.63,65.52,3.29,0.000000,0.000000,0.00
000104,08-17-2018,16:13:34,11,0.09,18,0.15,18.63,65.52,3.29,0.000000,0.000000,0.00
000105,08-17-2018,16:14:34,27,0.22,20,0.16,18.63,65.52,3.29,0.000000,0.000000,0.00
000106,08-17-2018,16:15:34,14,0.11,25,0.20,18.56,65.41,3.29,0.000000,0.000000,0.00
000107,08-17-2018,16:16:34,16,0.13,14,0.11,18.56,65.41,3.29,0.000000,0.000000,0.00
000108,08-17-2018,16:17:34,21,0.17,13,0.11,18.56,65.41,3.29,0.000000,0.000000,0.00
000109,08-17-2018,16:18:34,12,0.10,22,0.18,18.50,65.30,3.29,0.000000,0.000000,0.00
000110,08-17-2018,16:19:34,19,0.15,10,0.08,18.50,65.30,3.28,0.000000,0.000000,0.00
000111,08-17-2018,16:20:34,18,0.15,16,0.13,18.44,65.19,3.29,0.000000,0.000000,0.00
000112,08-17-2018,16:21:34,8,0.06,20,0.16,18.44,65.19,3.28,0.000000,0.000000,0.00
000113,08-17-2018,16:22:34,6,0.05,16,0.13,18.38,65.07,3.29,0.000000,0.000000,0.00
000114,08-17-2018,16:23:34,15,0.12,11,0.09,18.38,65.07,3.28,0.000000,0.000000,0.00
000115,08-17-2018,16:24:34,13,0.11,10,0.08,18.38,65.07,3.28,0.000000,0.000000,0.00
000116,08-17-2018,16:25:34,12,0.10,10,0.08,18.38,65.07,3.28,0.000000,0.000000,0.00
000117,08-17-2018,16:26:34,15,0.12,10,0.08,18.31,64.96,3.28,0.000000,0.000000,0.00
000118,08-17-2018,16:27:34,14,0.11,11,0.09,18.31,64.96,3.28,0.000000,0.000000,0.00
000119,08-17-2018,16:28:34,24,0.19,16,0.13,18.38,65.07,3.28,0.000000,0.000000,0.00
000120,08-17-2018,16:29:34,18,0.15,9,0.07,18.38,65.07,3.28,0.000000,0.000000,0.00
000121,08-17-2018,16:30:34,10,0.08,14,0.11,18.38,65.07,3.28,0.000000,0.000000,0.00
000122,08-17-2018,16:31:34,9,0.07,12,0.10,18.13,64.63,3.28,0.000000,0.000000,0.00
000123,08-17-2018,16:32:34,19,0.15,18,0.15,18.13,64.63,3.28,0.000000,0.000000,0.00
000124,08-17-2018,16:33:34,17,0.14,25,0.20,18.13,64.63,3.28,0.000000,0.000000,0.00
000125,08-17-2018,16:34:34,15,0.12,19,0.15,18.19,64.74,3.28,0.000000,0.000000,0.00
000126,08-17-2018,16:35:34,22,0.18,7,0.06,18.31,64.96,3.28,0.000000,0.000000,0.00
000127,08-17-2018,16:36:34,14,0.11,15,0.12,18.31,64.96,3.28,0.000000,0.000000,0.00
000128,08-17-2018,16:37:34,8,0.06,20,0.16,18.31,64.96,3.28,0.000000,0.000000,0.00
000129,08-17-2018,16:38:34,23,0.19,12,0.10,18.31,64.96,3.28,0.000000,0.000000,0.00
000130,08-17-2018,16:39:34,20,0.16,12,0.10,18.31,64.96,3.28,0.000000,0.000000,0.00
000131,08-17-2018,16:40:34,18,0.15,17,0.14,18.31,64.96,3.28,0.000000,0.000000,0.00
000132,08-17-2018,16:41:34,16,0.13,20,0.16,18.31,64.96,3.28,0.000000,0.000000,0.00
000133,08-17-2018,16:42:34,11,0.08,15,0.12,18.38,65.07,3.28,0.000000,0.000000,0.00
000134,08-17-2018,16:43:34,13,0.11,21,0.17,18.31,64.96,3.28,0.000000,0.000000,0.00
000135,08-17-2018,16:44:34,15,0.12,18,0.15,18.31,64.96,3.28,0.000000,0.000000,0.00
000136,08-17-2018,16:45:34,23,0.19,11,0.09,18.31,64.96,3.28,0.000000,0.000000,0.00
000137,08-17-2018,16:46:34,17,0.14,9,0.07,18.31,64.96,3.28,0.000000,0.000000,0.00
000138,08-17-2018,16:47:34,14,0.11,12,0.10,18.31,64.96,3.28,0.000000,0.000000,0.00
000139,08-17-2018,16:48:34,12,0.10,12,0.10,18.31,64.96,3.28,0.000000,0.000000,0.00
000140,08-17-2018,16:49:34,12,0.10,15,0.12,18.06,64.51,3.28,0.000000,0.000000,0.00
000141,08-17-2018,16:50:34,18,0.15,8,0.06,17.94,64.29,3.28,0.000000,0.000000,0.00
000142,08-17-2018,16:51:34,9,0.07,6,0.05,17.81,64.06,3.28,0.000000,0.000000,0.00
000143,08-17-2018,16:52:34,13,0.11,11,0.09,17.69,63.84,3.28,0.000000,0.000000,0.00
000144,08-17-2018,16:53:34,13,0.11,14,0.11,17.56,63.61,3.28,0.000000,0.000000,0.00
000145,08-17-2018,16:54:34,21,0.17,21,0.17,17.44,63.39,3.28,0.000000,0.000000,0.00
000146,08-17-2018,16:55:34,24,0.19,15,0.12,17.31,63.16,3.28,0.000000,0.000000,0.00
000147,08-17-2018,16:56:34,18,0.15,17,0.14,17.13,62.82,3.28,0.000000,0.000000,0.00
000148,08-17-2018,16:57:34,31,0.25,26,0.21,17.00,62.60,3.28,0.000000,0.000000,0.00
000149,08-17-2018,16:58:34,25,0.20,31,0.25,16.75,62.15,3.28,0.000000,0.000000,0.00
000150,08-17-2018,16:59:34,19,0.15,24,0.19,16.56,61.81,3.27,0.000000,0.000000,0.00
000151,08-17-2018,17:00:34,30,0.24,36,0.29,16.31,61.36,3.27,0.000000,0.000000,0.00
000152,08-17-2018,17:01:34,40,0.32,44,0.36,16.06,60.91,3.27,0.000000,0.000000,0.00
000153,08-17-2018,17:02:34,54,0.44,44,0.36,15.69,60.24,3.27,0.000000,0.000000,0.00
000154,08-17-2018,17:03:34,65,0.53,58,0.47,15.38,59.67,3.27,0.000000,0.000000,0.00
000155,08-17-2018,17:04:34,75,0.61,66,0.54,15.00,59.00,3.27,0.000000,0.000000,0.00
000156,08-17-2018,17:05:34,80,0.65,76,0.62,14.75,58.55,3.27,0.000000,0.000000,0.00
000157,08-17-2018,17:06:34,98,0.80,87,0.71,14.38,57.88,3.27,0.000000,0.000000,0.00
000158,08-17-2018,17:07:34,113,0.92,125,1.02,14.13,57.42,3.27,0.000000,0.000000,0.00
000159,08-17-2018,17:08:34,129,1.05,129,1.05,14.00,57.20,3.27,0.000000,0.000000,0.00
000160,08-17-2018,17:09:34,114,0.93,146,1.19,13.81,56.86,3.27,0.000000,0.000000,0.00
000161,08-17-2018,17:10:34,158,1.28,156,1.27,13.56,56.41,3.27,0.000000,0.000000,0.00
000162,08-17-2018,17:11:34,189,1.53,159,1.29,13.25,55.85,3.27,0.000000,0.000000,0.00
000163,08-17-2018,17:12:34,209,1.70,196,1.59,12.94,55.29,3.26,0.000000,0.000000,0.00
000164,08-17-2018,17:13:34,209,1.70,200,1.62,12.63,54.72,3.26,0.000000,0.000000,0.00
000165,08-17-2018,17:14:34,188,1.53,221,1.79,12.25,54.05,3.26,0.000000,0.000000,0.00
000166,08-17-2018,17:15:34,247,2.01,210,1.71,11.88,53.38,3.26,0.000000,0.000000,0.00
000167,08-17-2018,17:16:33,242,1.97,252,2.05,11.50,52.70,3.26,0.000000,0.000000,0.00
000168,08-17-2018,17:17:34,282,2.29,280,2.27,11.13,52.03,3.26,0.000000,0.000000,0.00
000169,08-17-2018,17:18:34,295,2.40,270,2.19,10.75,51.35,3.26,0.000000,0.000000,0.00
000170,08-17-2018,17:19:34,280,2.27,252,2.05,10.38,50.67,3.26,0.000000,0.000000,0.00
000171,08-17-2018,17:20:34,296,2.40,289,2.35,10.00,50.00,3.26,0.000000,0.000000,0.00
000172,08-17-2018,17:21:34,288,2.34,308,2.50,9.63,49.32,3.26,0.000000,0.000000,0.00
000173,08-17-2018,17:22:34,295,2.40,306,2.48,9.19,48.54,3.26,0.000000,0.000000,0.00
000174,08-17-2018,17:23:34,351,2.85,346,2.81,8.81,47.86,3.26,0.000000,0.000000,0.00
000175,08-17-2018,17:24:34,333,2.70,311,2.53,8.44,47.19,3.26,0.000000,0.000000,0.00
000176,08-17-2018,17:25:34,333,2.70,347,2.82,8.06,46.51,3.25,0.000000,0.000000,0.00
000177,08-17-2018,17:26:34,383,3.11,352,2.86,7.69,45.84,3.25,0.000000,0.000000,0.00
000178,08-17-2018,17:27:34,361,2.93,340,2.76,7.31,45.16,3.25,0.000000,0.000000,0.00
000179,08-17-2018,17:28:34,369,3.00,397,3.22,6.94,44.49,3.25,0.000000,0.000000,0.00
000180,08-17-2018,17:29:34,361,2.93,392,3.18,6.56,43.81,3.25,0.000000,0.000000,0.00
000181,08-17-2018,17:30:34,400,3.25,370,3.00,6.19,43.14,3.25,0.000000,0.000000,0.00
000182,08-17-2018,17:31:34,346,2.81,359,2.91,5.88,42.58,3.25,0.000000,0.000000,0.00
000183,08-17-2018,17:32:34,355,2.88,386,3.13,5.50,41.90,3.25,0.000000,0.000000,0.00
000184,08-17-2018,17:33:34,411,3.34,402,3.26,5.13,41.22,3.25,0.000000,0.000000,0.00
000185,08-17-2018,17:34:34,376,3.05,382,3.10,4.81,40.66,3.25,0.000000,0.000000,0.00
000186,08-17-2018,17:35:34,425,3.45,401,3.26,4.50,40.10,3.25,0.000000,0.000000,0.00
000187,08-17-2018,17:36:34,436,3.54,412,3.35,4.13,39.42,3.24,0.000000,0.000000,0.00
000188,08-17-2018,17:37:33,401,3.26,412,3.35,3.81,38.86,3.24,0.000000,0.000000,0.00
000189,08-17-2018,17:38:34,452,3.67,442,3.59,3.50,38.30,3.24,0.000000,0.000000,0.00
000190,08-17-2018,17:39:34,471,3.82,422,3.43,3.13,37.63,3.24,0.000000,0.000000,0.00
000191,08-17-2018,17:40:34,418,3.39,421,3.42,2.81,37.06,3.24,0.000000,0.000000,0.00
000192,08-17-2018,17:41:34,443,3.60,444,3.61,2.56,36.61,3.24,0.000000,0.000000,0.00
000193,08-17-2018,17:42:34,465,3.78,449,3.65,2.25,36.05,3.24,0.000000,0.000000,0.00
000194,08-17-2018,17:43:34,425,3.45,445,3.61,1.94,35.49,3.24,0.000000,0.000000,0.00
000195,08-17-2018,17:44:34,423,3.43,417,3.39,1.63,34.92,3.23,0.000000,0.000000,0.00
000196,08-17-2018,17:45:34,456,3.70,423,3.43,1.31,34.36,3.24,0.000000,0.000000,0.00
000197,08-17-2018,17:46:33,451,3.66,415,3.37,1.06,33.91,3.23,0.000000,0.000000,0.00
000198,08-17-2018,17:47:33,440,3.57,460,3.74,0.75,33.35,3.23,0.000000,0.000000,0.00
000199,08-17-2018,17:48:34,431,3.50,467,3.79,0.50,32.90,3.23,0.000000,0.000000,0.00
000200,08-17-2018,17:49:34,442,3.59,443,3.60,0.19,32.34,3.23,0.000000,0.000000,0.00
000201,08-17-2018,17:50:34,473,3.84,427,3.47,0.00,32.00,3.23,0.000000,0.000000,0.00
000202,08-17-2018,17:51:34,452,3.67,410,3.33,-0.19,31.66,3.23,0.000000,0.000000,0.00
000203,08-17-2018,17:52:34,423,3.43,417,3.39,-0.44,31.21,3.23,0.000000,0.000000,0.00
000204,08-17-2018,17:53:34,427,3.47,432,3.51,-0.63,30.88,3.23,0.000000,0.000000,0.00
000205,08-17-2018,17:54:34,424,3.44,440,3.57,-0.81,30.54,3.23,0.000000,0.000000,0.00
000206,08-17-2018,17:55:34,450,3.65,437,3.55,-1.00,30.20,3.23,0.000000,0.000000,0.00
000207,08-17-2018,17:56:34,426,3.46,447,3.63,-1.19,29.86,3.23,0.000000,0.000000,0.00
000208,08-17-2018,17:57:34,435,3.53,408,3.31,-1.38,29.52,3.23,0.000000,0.000000,0.00
000209,08-17-2018,17:58:34,418,3.39,428,3.48,-1.56,29.19,3.23,0.000000,0.000000,0.00
000210,08-17-2018,17:59:34,393,3.18,439,3.56,-1.75,28.85,3.23,0.000000,0.000000,0.00
000211,08-17-2018,18:00:34,409,3.32,435,3.53,-1.94,28.51,3.23,0.000000,0.000000,0.00
000212,08-17-2018,18:01:34,412,3.35,426,3.46,-2.13,28.17,3.22,0.000000,0.000000,0.00
000213,08-17-2018,18:02:34,434,3.52,373,3.03,-2.31,27.84,3.22,0.000000,0.000000,0.00
000214,08-17-2018,18:03:34,358,2.91,399,3.24,-2.44,27.61,3.22,0.000000,0.000000,0.00
000215,08-17-2018,18:04:34,387,3.14,385,3.13,-2.63,27.27,3.22,0.000000,0.000000,0.00
000216,08-17-2018,18:05:34,362,2.94,388,3.15,-2.81,26.94,3.22,0.000000,0.000000,0.00
000217,08-17-2018,18:06:34,388,3.15,364,2.96,-2.94,26.71,3.22,0.000000,0.000000,0.00
000218,08-17-2018,18:07:34,367,2.98,392,3.18,-3.13,26.38,3.22,0.000000,0.000000,0.00
000219,08-17-2018,18:08:34,368,2.99,356,2.89,-3.25,26.15,3.22,0.000000,0.000000,0.00
000220,08-17-2018,18:09:34,370,3.00,363,2.95,-3.44,25.81,3.22,0.000000,0.000000,0.00
000221,08-17-2018,18:10:34,379,3.08,351,2.85,-3.56,25.59,3.22,0.000000,0.000000,0.00
000222,08-17-2018,18:11:34,422,3.43,389,3.16,-3.69,25.36,3.22,0.000000,0.000000,0.00
000223,08-17-2018,18:12:34,400,3.25,350,2.84,-3.81,25.14,3.22,0.000000,0.000000,0.00
000224,08-17-2018,18:13:34,374,3.04,385,3.13,-4.00,24.80,3.22,0.000000,0.000000,0.00
000225,08-17-2018,18:14:34,362,2.94,407,3.30,-4.13,24.58,3.22,0.000000,0.000000,0.00
000226,08-17-2018,18:15:34,369,3.00,391,3.17,-4.25,24.35,3.22,0.000000,0.000000,0.00
000227,08-17-2018,18:16:33,350,2.84,369,3.00,-4.38,24.13,3.22,0.000000,0.000000,0.00
000228,08-17-2018,18:17:34,379,3.08,368,2.99,-4.50,23.90,3.22,0.000000,0.000000,0.00
000229,08-17-2018,18:18:34,389,3.16,377,3.06,-4.63,23.67,3.22,0.000000,0.000000,0.00
000230,08-17-2018,18:19:34,343,2.79,346,2.81,-4.75,23.45,3.22,0.000000,0.000000,0.00
000231,08-17-2018,18:20:34,370,3.00,380,3.09,-4.88,23.23,3.22,0.000000,0.000000,0.00
000232,08-17-2018,18:21:34,377,3.06,388,3.15,-4.94,23.11,3.22,0.000000,0.000000,0.00
000233,08-17-2018,18:22:34,341,2.77,381,3.09,-5.13,22.78,3.22,0.000000,0.000000,0.00
000234,08-17-2018,18:23:33,338,2.74,335,2.72,-5.19,22.66,3.22,0.000000,0.000000,0.00
000235,08-17-2018,18:24:33,347,2.82,352,2.86,-5.31,22.44,3.22,0.000000,0.000000,0.00
000236,08-17-2018,18:25:34,356,2.89,359,2.92,-5.44,22.21,3.22,0.000000,0.000000,0.00
000237,08-17-2018,18:26:33,368,2.99,350,2.84,-5.56,21.99,3.22,0.000000,0.000000,0.00
000238,08-17-2018,18:27:33,363,2.95,370,3.00,-5.69,21.76,3.22,0.000000,0.000000,0.00
000239,08-17-2018,18:28:33,368,2.99,314,2.55,-5.81,21.54,3.22,0.000000,0.000000,0.00
000240,08-17-2018,18:29:33,391,3.17,379,3.07,-5.88,21.42,3.21,0.000000,0.000000,0.00
000241,08-17-2018,18:30:33,354,2.87,357,2.90,-6.00,21.20,3.21,0.000000,0.000000,0.00
000242,08-17-2018,18:31:33,368,2.99,350,2.84,-6.13,20.98,3.21,0.000000,0.000000,0.00
000243,08-17-2018,18:32:33,352,2.86,391,3.17,-6.19,20.86,3.21,0.000000,0.000000,0.00
000244,08-17-2018,18:33:33,353,2.87,368,2.99,-6.31,20.64,3.21,0.000000,0.000000,0.00
000245,08-17-2018,18:34:33,376,3.05,365,2.96,-6.44,20.41,3.21,0.000000,0.000000,0.00
000246,08-17-2018,18:35:33,356,2.89,379,3.08,-6.56,20.19,3.21,0.000000,0.000000,0.00
000247,08-17-2018,18:36:33,336,2.73,379,3.08,-6.69,19.96,3.21,0.000000,0.000000,0.00
000248,08-17-2018,18:37:33,336,2.73,348,2.83,-6.81,19.74,3.21,0.000000,0.000000,0.00
000249,08-17-2018,18:38:33,328,2.66,355,2.88,-6.94,19.51,3.21,0.000000,0.000000,0.00
000250,08-17-2018,18:39:33,375,3.05,337,2.74,-7.13,19.17,3.21,0.000000,0.000000,0.00
000251,08-17-2018,18:40:33,338,2.74,320,2.60,-7.19,19.06,3.21,0.000000,0.000000,0.00
000252,08-17-2018,18:41:33,331,2.69,360,2.92,-7.31,18.84,3.21,0.000000,0.000000,0.00
000253,08-17-2018,18:42:33,319,2.59,302,2.45,-7.44,18.61,3.21,0.000000,0.000000,0.00
000254,08-17-2018,18:43:33,328,2.66,299,2.43,-7.56,18.39,3.20,0.000000,0.000000,0.00
