          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          -3.39          91.03           1749            3.2            222          108.6
         850.00          -7.28          89.88           3926            1.4            284          259.0
         700.00         -12.75          76.35           8848           33.6            279          580.1
         500.00         -28.08          61.52          17016           44.3            271         1098.8
         400.00         -37.44          22.29          22175           42.2            263         1440.1
         300.00         -53.16          34.45          28461           35.8            268         1901.4
         250.00         -62.51          25.30          32235           43.0            276         2163.8
         200.00         -58.12           3.91          36790           64.5            270         2504.6
         150.00         -56.62           3.40          42752           77.3            268         2949.3
         100.00         -57.49           4.15          51184           72.9            272         3534.3
          70.00         -59.80           6.58          58502           82.6            268         4013.6
          50.00         -63.31           8.23          65327           99.6            268         4438.2
          30.00         -64.58           8.04          75621          127.5            278         5023.4
          20.00         -69.38           9.30          83675          135.6            276         5478.2
          10.00         -66.24          13.20          97170          168.5            270         6233.6
