          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +0.68          61.20           1513            6.2              2           88.8
         850.00          -1.44          53.87           3731           11.4            303          223.3
         700.00         -12.53          53.96           8689           34.1            261          511.6
         500.00         -31.24          50.74          16826           23.6            303          980.8
         400.00         -43.12          39.80          21897           45.0            302         1274.8
         300.00         -58.09          29.11          28049           69.0            308         1638.2
         250.00         -63.47          24.42          31748           68.0            308         1885.8
         200.00         -60.69          12.93          36262           66.5            298         2236.7
         150.00         -55.52           6.68          42184           66.9            287         2619.0
         100.00         -58.56           3.57          50588           79.6            290         3098.7
          70.00         -59.77           2.34          57901           79.5            289         3495.5
          50.00         -61.53           2.00          64763          109.6            290         3863.4
          30.00         -62.34           0.99          75199          115.5            278         4433.0
          20.00         -63.17           1.19          83331          140.8            277         4850.2
          10.00         -59.77           0.92          97226          147.2            279         5533.1
