        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         989.10         +13.70          50.00           10.0            180
            656           38.5         965.83         +12.34          50.57           64.2            282
           1313           77.1         943.00         +11.16          50.55           64.2            282
           2626          155.0         898.65          +8.78          50.52           64.2            282
           3938          233.5         856.05          +6.38          50.49           64.2            282
           5250          312.7         815.12          +3.95          50.46           64.2            282
           6563          392.6         775.78          +1.51          50.44           64.1            282
           7875          513.3         737.89          -2.18          50.41           64.1            282
           9843          623.0         683.88          -5.54          50.40           64.1            282
          13121          808.9         601.23         -11.23          50.39           64.1            282
          16398         1057.0         526.68         -19.27          41.50           64.3            284
          19675         1329.5         459.52         -27.43          22.39           60.3            284
          26226         1755.9         344.24         -46.25          28.23           61.4            284
          32771         2144.6         252.13         -63.05          40.07           50.2            266
          39313         2590.0         181.30         -64.00          16.63           69.6            282
          45851         3042.5         130.78         -66.23          12.92           89.3            269
          58914         3951.8          67.74         -67.89           6.74           85.7            268
          71961         4826.2          34.50         -72.34           5.31          127.1            274
          84992         5658.3          17.58         -64.15           3.26          152.7            281
          98006         6317.7           9.15         -68.91           1.70          138.2            279
