        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         989.10         +13.70           0.00           60.0            270
            656           41.8         965.77         +12.70           0.10           65.9            256
           1313           83.6         942.92         +11.76           0.10           65.9            256
           2626          167.4         898.59          +9.87           0.14           65.9            256
           3938          251.0         856.10          +7.98           0.21           65.9            256
           5250          334.7         815.36          +6.09           0.28           65.9            256
           6563          418.4         776.27          +4.20           0.34           65.9            256
           7875          502.0         738.85          +2.32           0.41           65.9            256
           9843          627.5         685.61          -0.51           0.52           65.9            256
          13121          836.7         604.27          -5.23           0.69           66.0            256
          16398         1045.8         531.39          -9.95           0.86           66.0            256
          19675         1255.0         466.23         -14.67           1.03           66.0            256
          26226         1673.4         356.33         -24.11           1.38           66.0            256
          32771         2091.7         269.58         -33.55           1.73           66.1            256
          39313         2510.1         201.70         -42.99           2.09           66.1            256
          45851         2928.4         149.12         -52.42           2.48           66.2            256
          58914         3799.0          78.28         -70.14           6.17           84.9            257
          71961         4549.1          39.99         -70.43           8.03           94.7            261
          84992         5328.8          20.39         -63.82           0.10          110.7            264
          98006         6085.5          10.79         -55.98           3.81          137.7            281
