          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +2.31          48.34           1774            7.1            316          111.9
         850.00          -1.07          35.44           3987           22.7            279          259.4
         700.00          -8.42          18.74           8988           42.3            257          603.7
         500.00         -24.13           0.71          17303           37.6            267         1191.7
         400.00         -36.06          55.68          22490           58.7            274         1597.0
         300.00         -51.65          52.25          28827           87.2            263         2107.4
         250.00         -61.46          45.64          32586           99.5            256         2356.9
         200.00         -69.78          40.43          37008          119.7            247         2706.6
         150.00         -66.28           2.18          42663           83.9            266         3168.8
         100.00         -67.97           2.54          50559          104.0            257         3688.1
          70.00         -68.67           3.24          57555          105.2            263         4153.8
          50.00         -72.27           5.01          64032          109.2            264         4531.8
          30.00         -75.77           9.09          73485          133.0            266         5121.0
          20.00         -73.80           5.72          80836          163.7            266         5506.6
          10.00         -61.80           2.38          93434          178.9            268         6151.9
