          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +2.61          53.43           2025           18.4            288           94.1
         850.00          -2.41          51.25           4242           34.2            273          237.3
         700.00          -5.39           7.07           9242           64.1            249          534.9
         500.00         -19.77          25.29          17718           58.5            232         1006.1
         400.00         -32.30          26.22          23006           51.5            233         1219.7
         300.00         -49.22          41.22          29421           45.7            230         1558.3
         250.00         -58.84          32.42          33258           54.2            230         1901.5
         200.00         -70.67          33.22          37725           59.9            221         2223.8
         150.00         -73.46          29.90          43209           65.4            249         2431.7
         100.00         -61.12          11.21          51278           83.2            254         2987.8
          70.00         -61.78           5.96          58542           73.8            270         3445.9
          50.00         -68.72           8.91          65214           84.9            269         3776.5
          30.00         -73.84           9.38          75045          127.8            270         4304.1
          20.00         -67.29           6.15          82962          173.3            263         4817.2
          10.00         -64.07           1.39          96968          147.6            286         5523.1
