        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         974.00          +0.50          72.00            6.0             90
             10            0.8         973.87          +0.71          66.80            0.5            287
             20            1.5         973.73          +0.72          63.22            2.7            274
             30            2.1         973.57          +0.65          61.31            3.0            274
             40            2.7         973.37          +0.62          62.36            3.2            276
             50            3.3         973.15          +0.69          62.78            3.5            277
             60            3.9         972.92          +0.84          62.69            3.7            278
             70            4.4         972.67          +1.10          62.53            4.0            278
             80            5.0         972.41          +1.38          62.36            4.3            278
             90            5.5         972.14          +1.63          62.23            4.6            277
            100            6.1         971.87          +1.86          62.10            4.8            277
            110            6.6         971.58          +1.99          61.99            5.0            276
            120            7.1         971.29          +2.11          61.91            5.2            275
            130            7.7         970.99          +2.24          61.85            5.3            274
            140            8.2         970.69          +2.43          61.79            5.3            273
            150            8.7         970.37          +2.73          61.72            5.4            271
            160            9.3         970.05          +3.02          61.68            5.4            270
            170            9.8         969.72          +3.28          61.67            5.4            269
            180           10.4         969.38          +3.77          61.65            5.4            268
            190           10.9         969.04          +4.38          61.62            5.4            268
            200           11.5         968.70          +4.69          61.58            5.5            268
            210           12.0         968.36          +4.95          61.53            5.6            268
            220           12.6         968.01          +5.04          61.51            5.7            268
            230           13.1         967.67          +5.11          61.45            6.0            268
            240           13.7         967.32          +5.12          61.26            6.2            267
            250           14.2         966.97          +5.11          61.05            6.4            267
            260           14.7         966.62          +5.06          60.80            6.6            266
            270           15.3         966.27          +5.05          60.62            6.7            265
            280           15.8         965.92          +5.06          60.49            6.8            264
            290           16.3         965.57          +5.16          60.41            7.0            264
            300           16.9         965.21          +5.30          60.36            7.1            264
            310           17.4         964.85          +5.38          60.51            7.2            264
            320           18.0         964.50          +5.45          60.72            7.3            264
            330           18.5         964.13          +5.45          60.64            7.4            264
            340           19.1         963.77          +5.45          60.53            7.4            265
            350           19.6         963.44          +5.40          60.32            7.4            265
            360           20.2         963.11          +5.37          60.10            7.4            264
            370           20.7         962.77          +5.37          59.84            7.4            264
            380           21.3         962.43          +5.35          59.59            7.4            264
            390           21.8         962.08          +5.32          59.35            7.4            263
            400           22.4         961.73          +5.33          59.22            7.5            263
            410           22.9         961.38          +5.37          59.13            7.5            262
            420           23.5         961.02          +5.38          59.01            7.6            262
            430           24.0         960.66          +5.39          58.89            7.7            261
            440           24.6         960.30          +5.40          58.81            7.8            261
            450           25.2         959.94          +5.40          58.70            8.0            261
            460           25.7         959.57          +5.38          58.54            8.1            261
            470           26.3         959.21          +5.36          58.38            8.2            261
            480           26.8         958.84          +5.34          58.22            8.3            262
            490           27.4         958.47          +5.37          58.17            8.3            262
            500           28.0         958.10          +5.41          58.15            8.3            261
            510           28.5         957.73          +5.47          58.11            8.3            261
            520           29.1         957.36          +5.52          58.08            8.3            261
            530           29.7         956.98          +5.55          58.08            8.3            260
            540           30.2         956.61          +5.64          58.07            8.4            260
            550           30.8         956.23          +5.82          58.02            8.6            260
            560           31.4         955.85          +5.85          57.99            8.7            260
            570           32.0         955.46          +5.81          57.96            8.8            261
            580           32.6         955.08          +5.75          57.85            9.0            260
            590           33.1         954.70          +5.72          57.74            9.1            260
            600           33.7         954.32          +5.75          57.65            9.3            260
            610           34.3         953.94          +5.82          57.56            9.5            259
            620           34.9         953.56          +5.93          57.45            9.7            259
