        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         974.00          +0.50          72.00            6.0             90
            656           37.0         952.18          +6.33          57.00           10.0            258
           1313           73.7         928.25          +4.49          56.30           15.8            263
           2625          150.8         882.86          +1.42          65.67           27.6            264
           3938          251.8         839.51          -0.91          64.49           20.0            302
           5250          340.9         798.29          -2.75          63.75           29.2            283
           6562          418.6         758.72          -5.89          74.43           42.2            277
           7875          496.2         720.86          -7.23          63.02           48.6            271
           9842          608.8         666.97         -11.65          68.89           53.9            271
          13121          807.6         584.14         -18.98          65.20           51.9            274
          16399          983.5         509.46         -26.40          36.06           48.9            274
          19675         1146.0         442.41         -35.64          64.74           38.6            270
          26225         1512.4         327.88         -53.14          52.28           62.2            278
          32771         1865.1         238.93         -58.30           7.62           67.0            264
          39313         2238.4         172.94         -60.88           5.40           84.9            261
          45851         2566.4         124.64         -65.69           4.24           93.3            257
          58914         3449.5          64.30         -65.78           3.04          107.0            264
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
