        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0        1001.20          -0.90          82.00            4.0            140
            656           42.4         978.24          +3.67          71.20            5.5            326
           1313           86.4         954.15          +3.78          56.55           11.4            283
           2625          165.0         907.79          +3.07          51.86           26.2            271
           3938          266.3         863.49          -0.33          55.28           27.1            277
           5250          359.0         821.06          -2.88          52.61           36.9            274
           6562          448.2         780.73          -3.87          24.35           33.9            277
           7875          525.8         742.13          -4.54           3.57           33.1            268
           9842          653.6         687.13          -8.66           3.80           31.0            267
          13121          849.0         602.60         -17.45          10.93           20.7            240
          16399         1071.8         525.98         -24.94          15.85           15.1            237
          19675         1293.6         457.05         -31.60          10.74           35.5            238
          26225         1755.0         341.71         -44.67          50.50           19.6            229
          32771         2205.3         250.59         -61.51          32.49           29.8            211
          39313         2645.1         179.99         -60.57           6.94           36.0            244
          45851         3134.6         130.63         -57.93           1.73           50.6            254
          58914         4037.5          68.32         -62.28           0.34           86.9            260
          71961         4851.4          35.12         -66.66           2.26          102.7            261
          84992         5603.2          17.43         -70.41           5.95          131.5            265
          98006         6317.0           8.28         -72.17           3.16          150.2            262
