          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
        1000.00          -0.37          87.50             43            3.1            120            3.4
         925.00          +2.94          51.93           2142           21.6            273          135.1
         850.00          -1.28          53.92           4356           27.8            278          294.6
         700.00          -7.60           3.26           9375           31.7            267          622.9
         500.00         -27.72          10.57          17591           21.4            228         1140.0
         400.00         -37.18          43.74          22731           27.8            222         1516.4
         300.00         -51.76          35.04          29029           27.4            216         1968.7
         250.00         -61.60          32.74          32819           29.7            211         2207.7
         200.00         -65.05          23.18          37215           37.8            246         2484.8
         150.00         -60.18           2.48          43016           43.0            252         2909.5
         100.00         -61.76           1.64          51258           58.6            250         3498.7
          70.00         -62.69           0.65          58438           85.6            260         4003.5
          50.00         -65.60           2.25          65094           84.4            260         4423.4
          30.00         -68.73           2.59          74968          105.8            260         5030.2
          20.00         -71.01           2.71          82470          126.3            262         5437.2
          10.00         -75.57           9.84          94752          159.2            263         6129.1
