        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0        1001.20          -0.90          82.00            4.0            140
             15            1.7        1000.68          -1.60          87.37            3.7            124
             30            2.6        1000.33          -0.93          87.57            3.4            122
             45            3.5         999.93          -0.28          87.58            3.1            119
             60            4.5         999.47          +0.57          87.90            2.9            115
             75            5.4         999.00          +1.76          88.05            2.8            110
             90            6.3         998.52          +2.77          88.03            2.6            104
            105            7.2         998.03          +3.09          87.68            2.6             98
            120            8.1         997.54          +3.20          86.70            2.5             94
            135            9.0         997.03          +3.28          85.43            2.3             92
            150            9.9         996.52          +3.30          84.47            2.2             90
            165           10.9         996.00          +3.23          83.10            2.0             89
            180           11.9         995.47          +3.29          81.55            1.8             88
            195           12.8         994.94          +3.28          79.96            1.6             85
            210           13.8         994.41          +3.24          79.07            1.4             77
            225           14.7         993.88          +3.19          78.14            1.3             62
            240           15.7         993.34          +3.28          77.15            1.3             44
            255           16.7         992.80          +3.35          76.24            1.5             33
            270           17.6         992.26          +3.36          75.44            1.7             28
            285           18.6         991.72          +3.34          74.93            1.8             26
            300           19.5         991.20          +3.31          74.46            1.9             25
            315           20.5         990.70          +3.29          73.88            2.0             24
            330           21.4         990.17          +3.25          73.26            2.0             23
            345           22.3         989.65          +3.22          72.76            2.1             20
            360           23.3         989.12          +3.18          72.52            2.0             16
            375           24.2         988.58          +3.17          72.27            2.0             11
            390           25.2         988.04          +3.17          72.09            2.1              6
            405           26.1         987.49          +3.15          71.93            2.1              1
            420           27.1         986.94          +3.06          71.73            2.2            356
            435           28.0         986.39          +3.07          71.52            2.3            352
            450           29.0         985.85          +3.05          71.45            2.5            349
            465           30.0         985.30          +2.96          71.41            2.6            348
            480           30.9         984.74          +2.96          71.41            2.9            342
            495           31.9         984.19          +3.14          71.82            3.2            341
            510           32.9         983.64          +3.49          72.25            3.4            339
            525           33.9         983.09          +3.56          72.72            3.6            338
            540           34.8         982.54          +3.68          72.89            3.7            338
            555           35.8         981.98          +3.65          72.90            3.9            336
            570           36.8         981.43          +3.62          72.77            4.2            334
            585           37.8         980.88          +3.55          72.54            4.5            332
            600           38.8         980.32          +3.46          72.28            4.7            330
            615           39.8         979.77          +3.52          72.03            4.9            329
            630           40.7         979.21          +3.64          71.74            5.1            327
            645           41.7         978.66          +3.70          71.48            5.3            326
            660           42.7         978.10          +3.64          71.09            5.5            326
            675           43.6         977.55          +3.59          70.80            5.7            327
            690           44.6         976.99          +3.54          70.61            5.9            327
            705           45.6         976.43          +3.57          70.36            6.0            327
            720           46.6         975.88          +3.58          70.00            6.1            327
            735           47.6         975.32          +3.56          69.61            6.3            326
            750           48.6         974.76          +3.57          69.22            6.5            325
            765           49.6         974.20          +3.61          68.82            6.7            324
            780           50.5         973.64          +3.67          68.49            7.0            322
            795           51.5         973.08          +3.65          68.21            7.4            320
            810           52.5         972.53          +3.60          67.98            7.7            318
            825           53.5         971.98          +3.55          67.88            8.0            317
            840           54.5         971.43          +3.51          67.79            8.2            316
            855           55.5         970.87          +3.53          67.55            8.3            316
            870           56.5         970.31          +3.54          67.20            8.2            315
            885           57.5         969.75          +3.51          66.92            8.2            315
            900           58.5         969.19          +3.44          66.71            8.1            314
            915           59.5         968.63          +3.42          66.30            8.0            313
            930           60.6         968.06          +3.45          65.21            8.0            311
