        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         978.50          +8.50          56.00           14.6            250
            656           38.8         957.36          +9.03          51.78           22.9            260
           1313           75.1         934.52          +7.54          53.91           29.3            263
           2625          142.9         889.41          +4.99          57.17           26.5            271
           3938          215.8         846.47          +1.73          64.52           18.7            279
           5250          293.2         805.18          -1.48          73.08           27.5            289
           6562          376.4         765.25          -4.21          77.39           28.8            282
           7875          473.5         726.86          -6.57          78.31           41.6            274
           9842          640.1         673.28          -7.86          42.51           40.1            271
          13121          820.3         591.28         -14.10          54.27           52.4            269
          16399         1007.2         516.78         -20.97          53.51           37.1            260
          19675         1261.1         449.94         -28.32          40.40           28.1            272
          26225         1661.6         336.94         -45.19          50.24           58.1            266
          32771         2006.9         245.94         -61.12          48.28           80.8            266
          39313         2473.1         177.63         -58.35          23.82           74.2            252
          45851         2856.8         128.99         -62.57          14.49           66.5            261
          58914         3632.3          66.62         -63.50          11.57          100.4            257
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
