          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +0.60          63.52           1533            4.8            320           98.4
         850.00          -1.04          45.65           3745           13.0            323          238.9
         700.00          -9.98          25.23           8747           28.1            308          582.5
         500.00         -25.78          63.53          17012           38.6            326         1131.4
         400.00         -38.43          42.05          22184           41.2            334         1502.3
         300.00         -56.33          34.95          28420           43.4            333         1955.7
         250.00         -64.24          33.98          32125           45.6            329         2208.8
         200.00         -61.17           4.34          36640           68.2            320         2530.9
         150.00         -60.52           2.40          42515           69.3            300         2953.4
         100.00         -64.48           2.26          50758           75.4            302         3549.9
          70.00         -68.41           0.65          57836           87.2            290         4031.2
          50.00         -68.35           1.64          64478          107.5            290         4478.8
          30.00         -68.14           2.99          74613          115.4            289         5127.7
          20.00         -69.41           4.57          82548          131.9            281         5650.5
          10.00         -65.25           3.29          96178          161.0            280         6432.9
