           Time          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
              s             mB             °C              %            kts              °             ft
---------------------------------------------------------------------------------------------------------
            0.0         980.10          +6.00          57.00            3.0            270              0
            1.0         979.98          +4.31          59.64            4.1            294              3
            2.0         979.46          +4.14          61.10            4.2            292             18
            3.0         979.10          +4.03          60.04            4.3            290             27
            4.0         978.37          +3.91          59.45            4.3            288             47
            5.0         977.69          +3.91          58.95            4.3            286             66
            6.0         977.04          +3.82          58.58            4.5            284             83
            7.0         976.42          +3.72          58.65            4.7            284            100
            8.0         975.79          +3.74          58.69            4.8            285            118
            9.0         975.19          +3.65          58.77            4.9            285            134
           10.0         974.56          +3.58          58.88            4.8            285            151
           11.0         973.96          +3.56          58.98            4.6            285            167
           12.0         973.44          +3.54          59.07            4.4            285            182
           13.0         972.96          +3.51          59.13            4.3            283            195
           14.0         972.48          +3.49          59.27            4.4            282            208
           15.0         972.00          +3.43          59.42            4.4            281            221
           16.0         971.52          +3.38          59.57            4.6            280            234
           17.0         970.99          +3.36          59.74            4.7            281            249
           18.0         970.46          +3.33          59.88            4.8            282            263
           19.0         969.96          +3.33          60.01            4.7            283            277
           20.0         969.51          +3.27          60.16            4.6            284            290
           21.0         969.07          +3.23          60.25            4.6            284            301
           22.0         968.62          +3.21          60.37            4.7            284            314
           23.0         968.12          +3.16          60.48            4.8            285            328
           24.0         967.62          +3.15          60.64            4.8            286            341
           25.0         967.09          +3.06          60.79            4.8            288            356
           26.0         966.49          +3.02          60.95            4.8            290            372
           27.0         965.97          +3.01          61.12            4.7            291            387
           28.0         965.47          +2.91          61.25            4.6            291            400
           29.0         964.94          +2.90          61.36            4.6            290            415
           30.0         964.39          +2.86          61.48            4.6            289            430
           31.0         963.85          +2.84          61.56            4.9            286            445
           32.0         963.25          +2.75          61.64            4.9            287            461
           33.0         962.63          +2.80          61.73            4.9            289            479
           34.0         961.99          +2.72          61.83            4.9            290            496
           35.0         961.39          +2.65          61.95            5.1            290            513
           36.0         960.82          +2.64          62.04            5.4            291            528
           37.0         960.25          +2.58          62.19            5.6            292            544
           38.0         959.68          +2.56          62.30            5.8            293            560
           39.0         959.11          +2.46          62.41            6.0            293            576
           40.0         958.52          +2.42          62.53            6.1            293            592
           41.0         957.95          +2.34          62.65            6.3            293            608
           42.0         957.40          +2.30          62.78            6.4            293            623
           43.0         956.88          +2.29          62.92            6.4            292            637
           44.0         956.36          +2.19          63.04            6.5            292            652
           45.0         955.82          +2.18          63.16            6.5            291            667
           46.0         955.22          +2.14          63.24            6.4            290            683
           47.0         954.63          +2.13          63.29            6.3            289            700
           48.0         954.02          +2.04          63.33            6.2            289            717
           49.0         953.36          +2.04          63.35            6.1            289            735
           50.0         952.65          +2.00          63.42            6.0            290            755
           51.0         951.94          +1.91          63.52            5.9            291            775
           52.0         951.21          +1.97          63.60            5.8            292            795
           53.0         950.50          +1.87          63.59            5.8            294            815
           54.0         949.84          +1.84          63.59            5.7            294            833
           55.0         949.23          +1.78          63.60            5.7            294            850
           56.0         948.64          +1.76          63.56            5.7            293            866
           57.0         948.05          +1.75          63.58            5.8            291            883
           58.0         947.46          +1.73          63.58            5.8            291            899
           59.0         946.90          +1.65          63.64            5.9            292            915
           60.0         946.31          +1.62          63.74            5.8            293            931
           61.0         945.72          +1.59          63.87            5.8            295            948
           62.0         945.11          +1.54          64.05            5.7            297            965
           63.0         944.50          +1.49          64.22            5.6            298            982
           64.0         943.87          +1.51          64.46            5.5            299           1000
           65.0         943.28          +1.45          64.74            5.5            299           1016
           66.0         942.70          +1.40          64.81            5.5            300           1033
           67.0         942.16          +1.40          64.92            5.4            300           1048
           68.0         941.67          +1.35          64.97            5.4            301           1061
           69.0         941.20          +1.39          64.99            5.4            302           1075
           70.0         940.75          +1.36          65.03            5.4            304           1087
           71.0         940.33          +1.31          65.07            5.4            304           1099
           72.0         939.91          +1.30          65.00            5.5            304           1111
           73.0         939.49          +1.32          64.92            5.5            304           1122
           74.0         939.05          +1.36          64.79            5.5            304           1135
           75.0         938.58          +1.30          64.65            5.6            305           1148
           76.0         938.09          +1.31          64.66            5.6            305           1162
           77.0         937.62          +1.28          64.65            5.6            306           1175
           78.0         937.14          +1.20          64.67            5.6            307           1189
           79.0         936.67          +1.24          64.69            5.7            307           1202
           80.0         936.20          +1.17          64.76            5.7            307           1215
           81.0         935.76          +1.16          64.78            5.7            308           1228
           82.0         935.30          +1.13          64.79            5.6            309           1241
           83.0         934.78          +1.14          64.74            5.4            310           1255
           84.0         934.23          +1.18          64.66            5.2            308           1271
           85.0         933.62          +1.16          64.46            5.2            306           1288
           86.0         932.97          +1.08          64.18            5.3            304           1306
           87.0         932.30          +1.15          63.96            5.4            304           1325
           88.0         931.63          +1.09          63.46            5.5            306           1344
           89.0         930.98          +1.01          63.39            5.6            308           1363
           90.0         930.33          +1.00          63.48            5.5            310           1381
           91.0         929.68          +0.98          63.73            5.4            312           1399
           92.0         929.01          +0.94          63.97            5.2            313           1419
           93.0         928.39          +0.92          64.14            5.1            313           1436
           94.0         927.74          +0.81          64.07            5.0            313           1455
           95.0         927.12          +0.78          63.89            5.0            314           1472
           96.0         926.49          +0.71          63.68            4.9            315           1490
           97.0         925.89          +0.71          63.61            4.8            317           1507
           98.0         925.27          +0.61          63.52            4.8            319           1525
           99.0         924.65          +0.58          63.51            4.7            321           1543
          100.0         924.02          +0.51          63.61            4.6            324           1560
          101.0         923.45          +0.47          63.67            4.4            326           1577
          102.0         922.87          +0.39          63.76            4.3            330           1593
          103.0         922.30          +0.40          63.88            4.3            333           1610
          104.0         921.77          +0.33          63.99            4.3            336           1625
          105.0         921.24          +0.26          64.10            4.4            339           1640
          106.0         920.69          +0.22          64.23            4.6            343           1655
          107.0         920.14          +0.27          64.36            4.9            346           1671
          108.0         919.54          +0.19          64.44            5.1            347           1688
          109.0         918.90          +0.18          64.61            5.4            348           1707
          110.0         918.21          +0.16          64.76            5.6            350           1726
          111.0         917.52          +0.07          64.99            5.9            351           1746
          112.0         916.81          +0.06          65.24            6.1            351           1766
          113.0         916.13          +0.04          65.51            6.3            351           1786
          114.0         915.44          +0.00          65.88            6.5            352           1806
          115.0         914.75          -0.10          66.26            6.8            353           1825
          116.0         914.05          -0.13          66.54            7.1            353           1846
          117.0         913.34          -0.17          66.90            7.3            355           1866
          118.0         912.63          -0.24          67.34            7.5            356           1886
          119.0         911.92          -0.31          67.92            7.5            356           1907
          120.0         911.26          -0.33          68.34            7.6            356           1926
          121.0         910.62          -0.44          68.59            7.6            356           1944
          122.0         909.99          -0.47          68.92            7.8            356           1963
          123.0         909.33          -0.52          69.34            8.0            356           1982
          124.0         908.64          -0.53          69.74            8.4            357           2001
          125.0         907.94          -0.63          70.04            8.7            358           2022
          126.0         907.23          -0.67          70.30            8.9            360           2042
          127.0         906.58          -0.71          70.61            9.1              1           2061
          128.0         905.96          -0.77          70.92            9.1              3           2079
          129.0         905.40          -0.77          71.17            9.1              4           2095
          130.0         904.87          -0.85          71.29            9.1              4           2110
          131.0         904.33          -0.85          71.45            9.3              5           2126
          132.0         903.74          -0.82          71.76            9.5              6           2143
          133.0         903.13          -0.79          72.12            9.9              7           2161
          134.0         902.52          -0.83          72.31           10.2              8           2179
          135.0         901.91          -0.80          72.37           10.5              8           2196
          136.0         901.35          -0.85          72.35           10.8              9           2213
          137.0         900.83          -0.82          72.30           11.0              9           2228
          138.0         900.33          -0.87          72.19           11.1              9           2242
          139.0         899.86          -0.86          72.14           11.1              9           2256
          140.0         899.40          -0.88          72.03           11.3              9           2269
          141.0         898.95          -0.90          72.00           11.4              9           2282
          142.0         898.50          -0.95          71.95           11.7              9           2295
          143.0         898.05          -0.92          71.90           12.1             10           2309
          144.0         897.63          -0.95          71.89           12.5             10           2321
          145.0         897.18          -0.97          71.81           12.8             11           2334
          146.0         896.73          -0.98          71.81           13.1             11           2347
          147.0         896.25          -1.05          71.77           13.4             11           2361
          148.0         895.81          -1.03          71.86           13.5             11           2374
          149.0         895.33          -1.09          71.87           13.6             10           2388
          150.0         894.86          -1.13          71.92           13.7             10           2402
          151.0         894.37          -1.13          72.01           13.9              9           2416
          152.0         893.88          -1.24          72.12           14.1              9           2431
          153.0         893.38          -1.24          72.17           14.2             10           2445
          154.0         892.87          -1.32          72.26           14.4             10           2460
          155.0         892.33          -1.36          72.34           14.6             11           2476
          156.0         891.79          -1.38          72.42           14.6             11           2492
          157.0         891.25          -1.43          72.55           14.7             12           2507
          158.0         890.69          -1.49          72.62           14.6             12           2524
          159.0         890.11          -1.53          72.71           14.6             12           2541
          160.0         889.53          -1.53          72.80           14.6             12           2558
          161.0         888.91          -1.55          72.80           14.7             11           2576
          162.0         888.26          -1.60          72.82           14.9             11           2595
          163.0         887.61          -1.68          72.74           15.0             10           2614
          164.0         887.01          -1.66          72.74           15.0             10           2632
          165.0         886.41          -1.76          72.86           15.0              9           2650
          166.0         885.87          -1.77          72.88           14.9              9           2666
          167.0         885.36          -1.84          72.76           14.7              8           2681
          168.0         884.85          -1.84          72.61           14.7              9           2696
          169.0         884.27          -1.86          72.48           14.7              9           2713
          170.0         883.69          -1.95          72.37           14.8              9           2730
          171.0         883.09          -1.96          72.40           14.8              9           2748
          172.0         882.47          -2.00          72.18           14.8              9           2766
          173.0         881.83          -2.02          71.84           14.9              8           2785
          174.0         881.23          -2.06          71.56           14.9              8           2803
          175.0         880.67          -2.10          71.58           14.9              7           2819
          176.0         880.14          -2.10          71.32           14.8              7           2835
