          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
            hPa             °C              %              m            m/s              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          -1.60          47.39          420.1            9.5            264           95.5
         850.00          -7.39          50.23         1076.9           11.9            256          248.6
         700.00         -19.48          72.10         2545.0           19.4            249          643.2
         500.00         -39.80          65.37         4947.1           12.4            214         1324.8
         400.00         -54.06          62.26         6417.5            8.3            203         1622.6
         300.00         -58.09          38.89         8221.7           17.8            242         2118.2
         250.00         -59.35          30.09         9367.5           15.1            245         2459.8
         200.00         -58.42          26.31        10759.7           21.4            264         2838.8
         150.00         -56.14          24.44        12552.0           24.6            268         3317.2
         100.00         -56.57          18.20        15101.8           31.9            275         3943.4
          70.00         -55.15          14.98        17326.3           42.3            274         4514.1
          50.00         -58.70          13.61        19394.3           46.2            277         5013.4
          30.00         -62.58          12.78        22454.2           62.3            270         5666.1
          20.00         -63.21          16.67        24828.6           69.0            269         6137.1
          10.00         -63.84          15.98        28756.9           74.7            280         6959.1
