          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +0.17          47.81           1501           37.1            252           88.1
         850.00          -5.61          57.87           3693           39.5            258          234.1
         700.00          -9.60           4.51           8626           55.6            203          643.0
         500.00         -28.69          29.80          16786           67.4            208         1119.7
         400.00         -40.10          35.23          21915           77.1            208         1526.2
         300.00         -50.48          13.36          28194           93.2            208         2110.8
         250.00         -55.81           6.95          32000           87.6            207         2409.4
         200.00         -53.67           2.07          36544           73.9            217         2770.9
         150.00         -52.59           0.19          42588           57.4            245         3168.1
         100.00         -54.32         100.00          51085           48.4            265         3752.4
          70.00         -62.50         100.00          58291           72.8            269         4148.1
          50.00         -64.30           1.24          64933           83.9            260         4574.4
          30.00         -67.79           1.69          74816           94.4            270         5196.5
          20.00         -68.61           1.12          82422          117.9            263         5682.1
          10.00         -67.28           3.67          95056          151.0            264         6396.4
