          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +5.33          44.59           1730           12.7            288          107.2
         850.00          -0.65          56.03           3970           20.4            290          253.2
         700.00         -11.91          72.71           8954           31.7            263          566.2
         500.00         -29.23          54.60          17117           30.2            271         1102.9
         400.00         -40.71          48.15          22230           45.4            288         1437.6
         300.00         -56.66          50.89          28428           54.6            311         1764.0
         250.00         -63.66           0.10          32138           62.1            295         1977.0
         200.00         -54.83           1.54          36704           67.0            281         2273.9
         150.00         -54.78           1.99          42745           67.4            278         2664.7
         100.00         -58.68           2.05          51264           81.2            288         3221.4
          70.00         -60.49           1.09          58636           98.5            285         3735.3
          50.00         -57.52           2.45          65519          109.7            275         4249.8
          30.00         -59.87           2.02          76129           86.5            281         4905.0
          20.00         -65.37           5.31          84399          102.5            276         5339.4
           ////           ////           ////           ////           ////           ////           ////
