        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         986.20         +11.50          38.00            6.0            270
            656           40.7         962.64          +8.15          40.45           10.7            265
           1313           80.6         939.51          +6.51          42.12           11.5            279
           2626          168.0         894.46          +2.89          50.23           13.2            294
           3938          250.8         851.05          -0.53          55.93           20.1            291
           5250          350.3         809.31          -3.05          51.84           20.8            282
           6563          433.8         769.19          -6.36          58.41           21.9            283
           7875          508.7         730.60          -9.64          68.29           25.8            271
           9843          617.8         675.57         -13.68          73.48           33.7            260
          13121          821.1         591.32         -21.12          65.44           33.3            258
          16398         1055.2         515.52         -27.33          44.91           28.3            267
          19675         1284.7         447.76         -34.30          52.58           41.6            287
          26226         1635.6         333.07         -50.94          60.25           46.3            296
          32771         2008.4         242.27         -63.73           8.33           64.4            289
          39313         2420.7         176.64         -54.80           1.82           68.9            279
          45851         2953.6         129.43         -52.64           1.30           73.7            284
          58914         3767.1          69.05         -59.65           1.45           97.9            287
          71961         4618.6          36.72         -57.81           2.60           92.2            272
          84992         5358.6          19.41         -65.67           6.72          104.6            276
           ////           ////           ////           ////           ////           ////           ////
