        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         986.20         +11.50          38.00            6.0            270
             10            2.3         985.84         +11.98          37.14            8.5            266
             20            2.9         985.48         +11.55          37.04            8.4            266
             30            4.3         985.12         +10.34          36.39            8.6            268
             40            4.8         984.76         +10.09          36.20            8.7            268
             50            5.3         984.40          +9.89          36.10            8.8            268
             60            5.8         984.04          +9.74          36.06            8.9            268
             70            6.3         983.67          +9.65          36.11            9.0            267
             80            6.8         983.31          +9.62          36.23            9.0            267
             90            7.3         982.95          +9.56          36.37            9.0            266
            100            7.8         982.59          +9.49          36.52            9.0            266
            110            8.4         982.23          +9.47          36.55            9.0            265
            120            8.9         981.87          +9.46          36.53            8.9            265
            130            9.4         981.51          +9.40          36.60            8.9            265
            140            9.9         981.14          +9.33          36.69            8.8            265
            150           10.4         980.78          +9.27          36.83            8.8            266
            160           10.9         980.42          +9.21          36.98            8.8            267
            170           11.4         980.06          +9.19          37.19            8.9            267
            180           11.9         979.70          +9.17          37.41            8.9            268
            190           12.4         979.34          +9.17          37.68            9.0            268
            200           12.9         978.98          +9.19          37.95            9.1            269
            210           13.4         978.62          +9.18          38.18            9.2            269
            220           14.0         978.26          +9.16          38.38            9.3            269
            230           14.5         977.90          +9.14          38.56            9.4            269
            240           15.1         977.54          +9.11          38.73            9.5            269
            250           15.6         977.18          +9.07          38.89            9.6            269
            260           16.2         976.82          +9.05          39.03            9.7            268
            270           16.7         976.46          +9.03          39.11            9.8            268
            280           17.3         976.10          +8.99          39.20            9.8            268
            290           17.8         975.74          +8.93          39.31            9.9            267
            300           18.4         975.38          +8.90          39.39            9.9            267
            310           18.9         975.02          +8.88          39.45            9.9            267
            320           19.5         974.66          +8.83          39.47            9.8            267
            330           20.1         974.30          +8.79          39.49            9.8            266
            340           20.7         973.94          +8.76          39.52            9.7            266
            350           21.3         973.58          +8.74          39.57            9.7            266
            360           21.9         973.22          +8.71          39.67            9.7            266
            370           22.7         972.86          +8.72          39.72            9.7            266
            380           23.4         972.50          +8.72          39.73            9.7            266
            390           24.1         972.15          +8.69          39.72            9.6            266
            400           24.8         971.79          +8.68          39.80            9.6            265
            410           25.4         971.43          +8.68          39.89            9.5            265
            420           26.1         971.07          +8.67          39.99            9.4            265
            430           26.7         970.71          +8.66          40.08            9.4            265
            440           27.2         970.35          +8.62          40.15            9.5            265
            450           27.8         970.00          +8.54          40.21            9.5            265
            460           28.3         969.64          +8.50          40.26            9.6            266
            470           28.9         969.28          +8.49          40.31            9.7            266
            480           29.4         968.92          +8.48          40.35            9.8            266
            490           30.0         968.56          +8.47          40.39            9.9            267
            500           30.6         968.21          +8.41          40.42           10.0            267
            510           31.2         967.85          +8.37          40.45           10.1            268
            520           31.9         967.49          +8.37          40.46           10.3            269
            530           32.5         967.13          +8.37          40.45           10.3            268
            540           33.2         966.78          +8.36          40.45           10.3            268
            550           33.8         966.42          +8.34          40.48           10.4            268
            560           34.5         966.06          +8.32          40.54           10.3            267
            570           35.1         965.71          +8.28          40.63           10.3            266
            580           35.7         965.35          +8.24          40.75           10.3            266
            590           36.3         964.99          +8.21          40.78           10.3            266
            600           36.9         964.64          +8.19          40.72           10.4            267
            610           37.5         964.28          +8.18          40.69           10.5            267
            620           38.1         963.92          +8.16          40.68           10.6            267
