        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         981.80          +1.90          67.00            7.0             90
             10            1.8         981.43          +0.41          73.13            2.3             85
             20            2.6         981.05          +0.39          73.18            2.4             83
             30            3.3         980.68          +0.52          72.29            2.5             80
             40            3.9         980.31          +0.86          70.82            2.6             76
             50            4.5         979.94          +1.48          68.25            2.7             71
             60            5.0         979.57          +2.16          65.42            2.7             67
             70            5.6         979.20          +2.88          62.56            2.7             64
             80            6.1         978.83          +3.53          59.88            2.6             62
             90            6.6         978.46          +3.93          57.92            2.5             61
            100            7.2         978.09          +4.27          56.28            2.4             60
            110            7.7         977.73          +4.51          55.32            2.3             58
            120            8.2         977.36          +4.70          54.57            2.2             56
            130            8.7         977.00          +4.81          54.17            2.2             53
            140            9.2         976.63          +4.90          53.85            2.2             51
            150            9.8         976.27          +4.95          53.60            2.2             50
            160           10.3         975.90          +4.97          53.42            2.3             51
            170           10.8         975.54          +4.98          53.28            2.3             52
            180           11.4         975.17          +4.97          53.30            2.4             53
            190           11.9         974.81          +4.95          53.42            2.4             54
            200           12.5         974.44          +4.95          53.46            2.3             54
            210           13.0         974.08          +4.94          53.49            2.3             54
            220           13.6         973.71          +4.95          53.69            2.2             54
            230           14.1         973.35          +4.97          53.86            2.2             53
            240           14.6         972.99          +5.00          53.85            2.2             52
            250           15.1         972.62          +5.03          53.90            2.2             50
            260           15.7         972.26          +5.04          54.08            2.2             46
            270           16.2         971.90          +5.06          54.19            2.2             43
            280           16.7         971.53          +5.07          54.17            2.2             40
            290           17.2         971.17          +5.10          54.12            2.2             37
            300           17.8         970.81          +5.15          54.04            2.2             36
            310           18.3         970.44          +5.30          53.70            2.2             36
            320           18.8         970.08          +5.53          53.13            2.1             35
            330           19.3         969.72          +5.80          52.50            2.0             35
            340           19.9         969.36          +6.10          51.83            1.9             34
            350           20.4         969.00          +6.28          51.09            1.9             33
            360           20.9         968.64          +6.41          50.32            1.8             32
            370           21.4         968.28          +6.45          49.97            1.8             31
            380           22.0         967.92          +6.48          49.68            1.8             29
            390           22.5         967.56          +6.49          49.60            1.8             29
            400           23.0         967.20          +6.50          49.52            1.9             29
            410           23.6         966.84          +6.50          49.42            2.0             30
            420           24.1         966.48          +6.50          49.33            2.0             30
            430           24.6         966.12          +6.49          49.31            2.1             31
            440           25.2         965.76          +6.48          49.31            2.1             32
            450           25.7         965.40          +6.46          49.35            2.1             33
            460           26.3         965.04          +6.44          49.42            2.1             34
            470           26.8         964.68          +6.42          49.54            2.0             34
            480           27.3         964.32          +6.39          49.65            2.0             33
            490           27.9         963.97          +6.37          49.78            1.9             31
            500           28.4         963.61          +6.36          49.82            1.8             29
            510           29.0         963.25          +6.35          49.84            1.8             26
            520           29.6         962.89          +6.34          49.76            1.8             24
            530           30.1         962.53          +6.34          49.72            1.8             22
            540           30.7         962.17          +6.33          49.80            1.9             19
            550           31.2         961.82          +6.33          49.78            1.9             18
            560           31.8         961.46          +6.32          49.61            2.0             17
            570           32.3         961.10          +6.33          49.48            2.1             18
            580           32.9         960.74          +6.36          49.40            2.2             19
            590           33.4         960.39          +6.35          49.41            2.2             18
            600           34.0         960.03          +6.34          49.45            2.2             16
            610           34.6         959.67          +6.32          49.26            2.2             12
            620           35.1         959.32          +6.33          49.06            2.3              8
