          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +7.71          49.00           1357            5.9            295           93.5
         850.00          +2.52          56.93           3613           17.2            303          250.1
         700.00          -8.47          73.61           8642           51.0            297          588.7
         500.00         -23.95          30.13          16934           41.4            306         1177.7
         400.00         -36.75          29.45          22151           36.3            306         1582.2
         300.00         -52.61          26.76          28423           27.8            302         2175.4
         250.00         -62.70          46.27          32185           38.5            294         2482.9
         200.00         -73.12          37.76          36532           60.3            300         2713.5
         150.00         -63.71          11.71          42044           86.1            282         3158.2
         100.00         -65.22           2.13          50138           96.9            281         3619.7
          70.00         -66.56           2.38          57242          112.0            289         3975.3
          50.00         -67.97           2.09          63980          106.1            287         4402.2
          30.00         -70.43           4.90          73668          144.7            283         5080.9
          20.00         -77.54          11.18          80937          151.6            284         5419.8
           ////           ////           ////           ////           ////           ////           ////
