          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +0.11          59.09           1499            2.8            102          101.7
         850.00          -5.31          79.27           3699            8.2             25          243.3
         700.00          -6.99          89.68           8713           17.7             14          581.2
         500.00         -22.83          74.34          17055           20.0            349         1093.1
         400.00         -34.23          66.33          22309           22.5            351         1411.4
         300.00         -51.77          50.65          28670           29.1            333         1797.1
         250.00         -61.26          55.97          32454           27.7            329         2033.5
         200.00         -61.33          10.55          36992           25.9            307         2295.7
         150.00         -54.38           4.17          42961           44.8            284         2690.2
         100.00         -56.39           1.92          51439           50.6            285         3277.6
          70.00         -59.43           2.55          58802           69.3            274         3775.7
          50.00         -63.55           3.05          65644           76.6            270         4221.8
          30.00         -71.18           5.66          75786           87.3            270         4810.3
          20.00         -75.12          10.74          83587          110.1            262         5265.7
          10.00         -70.93           8.67          96769          129.2            269         5996.5
