Sample#,Date+Time,DateTime,Fl Sec,Az,El,Press,TAir,Hum,Lat,Long,Alt,Freq,RSSI,F Offs,Az Tr Offs,El Tr Offs,Sys V,Sys I,Az I,El I,MCU Stat,Rx Stat,SCA Stat,POST,SAA BIT,Rx BIT,MCU BIT,SCA BIT,CDU1 BIT,CDU2 BIT,State,Flags,THum
18,2017-07-30 13:10:51,42946.5492072,999999999.0000000,999999999.000,999999999.000,42.563,-64.130,654.010,-49.790508,-68.324966,20952.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.13
19,2017-07-30 13:10:52,42946.5492188,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
20,2017-07-30 13:10:53,42946.5492303,999999999.0000000,999999999.000,999999999.000,42.963,-64.110,654.010,-49.790382,-68.323669,20907.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.11
21,2017-07-30 13:10:54,42946.5492419,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
22,2017-07-30 13:10:55,42946.5492535,999999999.0000000,999999999.000,999999999.000,43.293,-64.140,654.030,-49.790237,-68.322372,20859.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.14
23,2017-07-30 13:10:56,42946.5492650,999999999.0000000,999999999.000,999999999.000,43.493,-64.170,654.020,-49.790169,-68.321716,20836.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.17
24,2017-07-30 13:10:57,42946.5492766,999999999.0000000,999999999.000,999999999.000,43.693,-64.220,654.000,-49.790100,-68.321060,20811.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.22
25,2017-07-30 13:10:58,42946.5492882,999999999.0000000,999999999.000,999999999.000,43.883,-64.280,654.030,-49.790039,-68.320389,20787.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.28
26,2017-07-30 13:10:59,42946.5492998,999999999.0000000,999999999.000,999999999.000,44.073,-64.320,654.040,-49.789974,-68.319717,20762.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.32
27,2017-07-30 13:11:00,42946.5493113,999999999.0000000,999999999.000,999999999.000,44.263,-64.240,654.050,-49.789913,-68.319038,20738.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.24
28,2017-07-30 13:11:01,42946.5493229,999999999.0000000,999999999.000,999999999.000,44.473,-64.140,654.000,-49.789856,-68.318367,20713.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.14
29,2017-07-30 13:11:02,42946.5493345,999999999.0000000,999999999.000,999999999.000,44.663,-64.060,654.060,-49.789795,-68.317680,20690.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.06
30,2017-07-30 13:11:03,42946.5493461,999999999.0000000,999999999.000,999999999.000,44.813,-64.030,654.050,-49.789730,-68.316994,20667.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.03
31,2017-07-30 13:11:04,42946.5493576,999999999.0000000,999999999.000,999999999.000,45.003,-64.100,654.040,-49.789661,-68.316315,20642.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.10
32,2017-07-30 13:11:05,42946.5493692,999999999.0000000,999999999.000,999999999.000,45.203,-64.210,654.050,-49.789597,-68.315636,20618.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.21
33,2017-07-30 13:11:06,42946.5493808,999999999.0000000,999999999.000,999999999.000,45.373,-64.260,654.020,-49.789524,-68.314964,20593.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.26
34,2017-07-30 13:11:07,42946.5493924,999999999.0000000,999999999.000,999999999.000,45.553,-64.320,654.070,-49.789444,-68.314308,20570.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.32
35,2017-07-30 13:11:08,42946.5494039,999999999.0000000,999999999.000,999999999.000,45.773,-64.410,654.080,-49.789356,-68.313644,20547.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.41
36,2017-07-30 13:11:09,42946.5494155,999999999.0000000,999999999.000,999999999.000,45.973,-64.460,654.090,-49.789280,-68.312988,20523.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.46
37,2017-07-30 13:11:10,42946.5494271,999999999.0000000,999999999.000,999999999.000,46.133,-64.610,654.060,-49.789204,-68.312332,20499.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.61
38,2017-07-30 13:11:11,42946.5494387,999999999.0000000,999999999.000,999999999.000,46.323,-64.660,654.110,-49.789120,-68.311668,20474.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.66
39,2017-07-30 13:11:12,42946.5494502,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
40,2017-07-30 13:11:13,42946.5494618,999999999.0000000,999999999.000,999999999.000,46.653,-64.680,654.140,-49.788952,-68.310356,20429.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.68
41,2017-07-30 13:11:14,42946.5494734,999999999.0000000,999999999.000,999999999.000,46.823,-64.680,654.160,-49.788868,-68.309708,20407.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.68
42,2017-07-30 13:11:15,42946.5494850,999999999.0000000,999999999.000,999999999.000,47.013,-64.630,654.070,-49.788788,-68.309067,20385.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.63
43,2017-07-30 13:11:16,42946.5494965,999999999.0000000,999999999.000,999999999.000,47.243,-64.660,654.100,-49.788700,-68.308411,20362.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.66
44,2017-07-30 13:11:17,42946.5495081,999999999.0000000,999999999.000,999999999.000,47.443,-64.630,654.100,-49.788609,-68.307762,20339.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.63
45,2017-07-30 13:11:18,42946.5495197,999999999.0000000,999999999.000,999999999.000,47.623,-64.690,654.130,-49.788525,-68.307114,20316.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.69
46,2017-07-30 13:11:19,42946.5495313,999999999.0000000,999999999.000,999999999.000,47.823,-64.640,654.120,-49.788445,-68.306465,20293.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.64
47,2017-07-30 13:11:20,42946.5495428,999999999.0000000,999999999.000,999999999.000,48.013,-64.640,654.080,-49.788364,-68.305809,20268.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.64
48,2017-07-30 13:11:21,42946.5495544,999999999.0000000,999999999.000,999999999.000,48.203,-64.700,654.130,-49.788296,-68.305145,20242.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.70
49,2017-07-30 13:11:22,42946.5495660,999999999.0000000,999999999.000,999999999.000,48.403,-64.670,654.150,-49.788227,-68.304497,20214.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.67
50,2017-07-30 13:11:23,42946.5495775,999999999.0000000,999999999.000,999999999.000,48.633,-64.720,654.120,-49.788151,-68.303841,20187.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.72
51,2017-07-30 13:11:24,42946.5495891,999999999.0000000,999999999.000,999999999.000,48.813,-64.720,654.050,-49.788067,-68.303185,20160.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.72
52,2017-07-30 13:11:25,42946.5496007,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
53,2017-07-30 13:11:26,42946.5496123,999999999.0000000,999999999.000,999999999.000,49.253,-64.520,654.070,-49.787891,-68.301872,20107.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.52
54,2017-07-30 13:11:27,42946.5496238,999999999.0000000,999999999.000,999999999.000,49.453,-64.420,654.060,-49.787819,-68.301216,20083.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.42
55,2017-07-30 13:11:28,42946.5496354,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
56,2017-07-30 13:11:29,42946.5496470,999999999.0000000,999999999.000,999999999.000,49.773,-64.510,654.080,-49.787670,-68.299973,20040.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.51
57,2017-07-30 13:11:30,42946.5496586,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
58,2017-07-30 13:11:31,42946.5496701,999999999.0000000,999999999.000,999999999.000,49.963,-64.620,654.110,-49.787514,-68.298706,19997.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.62
59,2017-07-30 13:11:32,42946.5496817,999999999.0000000,999999999.000,999999999.000,50.103,-64.710,654.150,-49.787437,-68.298073,19974.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.71
60,2017-07-30 13:11:33,42946.5496933,999999999.0000000,999999999.000,999999999.000,50.373,-64.620,654.090,-49.787357,-68.297432,19950.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.62
61,2017-07-30 13:11:34,42946.5497049,999999999.0000000,999999999.000,999999999.000,50.653,-64.680,654.170,-49.787289,-68.296799,19925.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.68
62,2017-07-30 13:11:35,42946.5497164,999999999.0000000,999999999.000,999999999.000,50.873,-64.810,654.180,-49.787216,-68.296165,19899.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.81
63,2017-07-30 13:11:36,42946.5497280,999999999.0000000,999999999.000,999999999.000,51.123,-64.840,654.190,-49.787151,-68.295525,19872.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.84
64,2017-07-30 13:11:37,42946.5497396,999999999.0000000,999999999.000,999999999.000,51.314,-64.840,654.190,-49.787086,-68.294899,19846.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.84
65,2017-07-30 13:11:38,42946.5497512,999999999.0000000,999999999.000,999999999.000,51.504,-64.870,654.130,-49.787014,-68.294258,19822.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.87
66,2017-07-30 13:11:39,42946.5497627,999999999.0000000,999999999.000,999999999.000,51.714,-64.940,654.140,-49.786930,-68.293625,19798.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.94
67,2017-07-30 13:11:40,42946.5497743,999999999.0000000,999999999.000,999999999.000,51.934,-64.930,654.160,-49.786846,-68.292984,19774.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.93
68,2017-07-30 13:11:41,42946.5497859,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
69,2017-07-30 13:11:42,42946.5497975,999999999.0000000,999999999.000,999999999.000,52.404,-64.820,654.080,-49.786652,-68.291718,19723.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.82
70,2017-07-30 13:11:43,42946.5498090,999999999.0000000,999999999.000,999999999.000,52.594,-64.980,654.170,-49.786549,-68.291100,19701.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.98
71,2017-07-30 13:11:44,42946.5498206,999999999.0000000,999999999.000,999999999.000,52.684,-65.090,654.200,-49.786449,-68.290482,19680.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-65.09
72,2017-07-30 13:11:45,42946.5498322,999999999.0000000,999999999.000,999999999.000,52.804,-65.080,654.180,-49.786354,-68.289871,19658.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-65.08
73,2017-07-30 13:11:46,42946.5498438,999999999.0000000,999999999.000,999999999.000,53.064,-65.050,654.160,-49.786259,-68.289253,19635.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-65.05
74,2017-07-30 13:11:47,42946.5498553,999999999.0000000,999999999.000,999999999.000,53.304,-64.950,654.110,-49.786160,-68.288643,19610.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.95
75,2017-07-30 13:11:48,42946.5498669,999999999.0000000,999999999.000,999999999.000,53.554,-64.920,654.170,-49.786060,-68.288033,19585.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.92
76,2017-07-30 13:11:49,42946.5498785,999999999.0000000,999999999.000,999999999.000,53.794,-64.790,654.130,-49.785961,-68.287430,19560.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.79
77,2017-07-30 13:11:50,42946.5498900,999999999.0000000,999999999.000,999999999.000,54.014,-64.640,654.160,-49.785858,-68.286812,19536.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.64
78,2017-07-30 13:11:51,42946.5499016,999999999.0000000,999999999.000,999999999.000,54.224,-64.510,654.080,-49.785755,-68.286194,19513.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.51
79,2017-07-30 13:11:52,42946.5499132,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
80,2017-07-30 13:11:53,42946.5499248,999999999.0000000,999999999.000,999999999.000,54.644,-64.150,654.110,-49.785557,-68.284958,19466.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-64.15
81,2017-07-30 13:11:54,42946.5499363,999999999.0000000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000,999999999.000000,999999999.000000,999999999.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,0,999999999.00
82,2017-07-30 13:11:55,42946.5499479,999999999.0000000,999999999.000,999999999.000,55.114,-63.810,654.070,-49.785355,-68.283714,19418.00,999999999.000,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,9999999999,999999999,999999999,999999999,999999999,999999999,999999999,3,2098952,-63.81
