        GPM_AGL           Time          Press           Temp         RelHum         WSpeed          WDirn
             ft              s             mB             °C              %            kts              °
---------------------------------------------------------------------------------------------------------
              0            0.0         977.00          +5.10          65.00            5.0             90
             10            0.4         976.63          +3.89          71.93            2.7            273
             20            0.8         976.27          +2.69          78.87           10.5            272
             30            1.3         975.90          +2.25          84.23           13.8            272
             40            1.7         975.53          +2.40          88.40           13.8            272
             50            2.2         975.16          +2.53          90.59           13.7            273
             60            2.7         974.80          +2.62          88.87           13.7            273
             70            3.2         974.43          +2.71          86.67           13.6            273
             80            3.7         974.06          +2.80          83.31           13.5            273
             90            4.2         973.69          +2.88          79.22           13.5            273
            100            4.7         973.33          +2.92          73.81           13.5            272
            110            5.2         972.96          +2.97          70.83           13.5            272
            120            5.8         972.60          +3.01          70.56           13.6            272
            130            6.3         972.23          +3.04          70.41           13.6            272
            140            6.8         971.86          +3.05          70.37           13.8            271
            150            7.4         971.50          +3.05          70.34           13.8            271
            160            7.9         971.13          +3.04          70.31           13.9            271
            170            8.5         970.77          +3.02          70.25           14.0            272
            180            9.0         970.40          +3.00          70.20           14.0            272
            190            9.5         970.04          +2.98          70.17           14.1            272
            200           10.1         969.67          +2.97          70.12           14.1            273
            210           10.6         969.31          +2.96          70.04           14.1            273
            220           11.2         968.94          +2.95          69.96           14.1            274
            230           11.7         968.58          +2.94          69.91           14.0            274
            240           12.2         968.21          +2.92          69.98           14.1            274
            250           12.8         967.85          +2.89          70.20           14.1            274
            260           13.3         967.48          +2.86          70.36           14.2            274
            270           13.9         967.12          +2.82          70.47           14.2            273
            280           14.4         966.75          +2.79          70.72           14.1            273
            290           15.0         966.39          +2.75          71.02           14.1            273
            300           15.5         966.03          +2.72          71.00           14.0            272
            310           16.1         965.66          +2.70          70.92           14.0            272
            320           16.7         965.30          +2.67          70.65           13.9            272
            330           17.2         964.93          +2.65          70.50           13.9            272
            340           17.8         964.57          +2.62          70.53           13.9            272
            350           18.4         964.21          +2.60          70.73           13.9            272
            360           18.9         963.84          +2.57          71.03           14.0            272
            370           19.5         963.48          +2.54          71.22           14.1            272
            380           20.1         963.12          +2.52          71.39           14.2            272
            390           20.6         962.75          +2.48          71.48           14.3            272
            400           21.2         962.39          +2.45          71.58           14.4            271
            410           21.8         962.03          +2.42          71.69           14.4            271
            420           22.4         961.66          +2.39          71.71           14.4            271
            430           22.9         961.30          +2.36          71.66           14.4            271
            440           23.5         960.94          +2.33          71.99           14.4            271
            450           24.1         960.58          +2.30          72.34           14.4            271
            460           24.6         960.21          +2.27          72.50           14.3            272
            470           25.2         959.85          +2.24          72.64           14.3            272
            480           25.8         959.49          +2.22          72.76           14.3            273
            490           26.4         959.13          +2.19          72.86           14.3            273
            500           27.0         958.76          +2.17          72.95           14.4            274
            510           27.6         958.40          +2.15          72.84           14.5            274
            520           28.2         958.04          +2.13          72.67           14.5            274
            530           28.7         957.68          +2.11          72.34           14.6            274
            540           29.3         957.32          +2.09          72.19           14.7            274
            550           29.9         956.96          +2.06          72.19           14.7            274
            560           30.5         956.59          +2.05          72.08           14.9            274
            570           31.0         956.23          +2.04          71.95           15.0            274
            580           31.6         955.87          +2.01          71.94           15.0            274
            590           32.2         955.51          +1.98          72.16           14.9            274
            600           32.8         955.15          +1.96          72.85           14.8            274
            610           33.4         954.79          +1.92          73.31           14.8            274
            620           33.9         954.43          +1.87          73.63           14.7            274
