          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
             mB             °C              %             ft            kts              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00          +0.47          64.88           1446           20.0            291           82.0
         850.00          -4.72          71.86           3651           27.2            284          202.9
         700.00         -15.39          50.23           8557           59.1            277          466.0
         500.00         -36.50          52.54          16547           61.5            266          887.7
         400.00         -39.94           3.22          21575           68.1            249         1242.1
         300.00         -50.57           3.05          27876           45.1            266         1650.0
         250.00         -54.46           5.24          31731           48.0            283         1871.6
         200.00         -54.39           2.85          36409           63.8            286         2212.5
         150.00         -55.49           2.78          42403           81.5            283         2620.1
         100.00         -58.49           2.63          50789           91.4            275         3089.8
          70.00         -62.49           2.71          58106           78.5            274         3543.2
          50.00         -61.26           2.23          64969          123.1            279         3920.8
          30.00         -51.61           0.93          75569          123.4            299         4510.9
          20.00         -55.53           0.78          84015          142.1            280         4867.0
          10.00         -49.77           1.48          99045          153.0            277         5711.3
